recall_number,category
F-1344-2013,Baking Supplies
F-1374-2013,Spices/Condiments
F-0831-2014,Supplements
F-1594-2013,Plant Protein
F-1619-2013,Prepared/Frozen
F-1397-2013,Produce
F-0091-2014,Supplements
F-1813-2013,Spices/Condiments
F-1016-2014,Prepared/Frozen
F-0334-2014,Produce
F-0342-2014,Produce
F-1157-2014,Prepared/Frozen
F-0798-2014,Supplements
F-0350-2014,Supplements
F-0575-2014,Produce
F-1501-2014,Spices/Condiments
F-1498-2014,Spices/Condiments
F-1406-2013,Spices/Condiments
F-0097-2014,Supplements
F-0715-2014,Produce
F-1514-2014,Spices/Condiments
F-0774-2014,Supplements
F-0395-2014,Produce
F-0694-2014,Supplements
F-0448-2014,Plant Protein
F-1763-2013,Seafood
F-1528-2014,Spices/Condiments
F-0712-2014,Produce
F-0788-2014,Supplements
F-1907-2013,Supplements
F-1416-2014,Seafood
F-0589-2014,Plant Protein
F-1804-2013,Nuts/Seeds
F-0182-2014,Snacks/Candy
F-0841-2014,Supplements
F-1132-2014,Supplements
F-1517-2014,Spices/Condiments
F-1518-2014,Spices/Condiments
F-1394-2013,Supplements
F-0080-2015,Non-Food Item
F-0096-2014,Supplements
F-1803-2013,Supplements
F-1558-2013,Bakery
F-1032-2014,Prepared/Frozen
F-1353-2014,Supplements
F-0782-2014,Supplements
F-1966-2013,Beverages
F-1627-2013,Bakery
F-1237-2014,Plant Protein
F-1140-2013,Produce
F-1464-2014,Nuts/Seeds
F-1519-2014,Spices/Condiments
F-1205-2013,Bakery
F-1636-2014,Baking Supplies
F-0958-2014,Produce
F-1736-2013,Grains/Cereal
F-0728-2014,Produce
F-0839-2014,Supplements
F-1513-2014,Spices/Condiments
F-0381-2014,Supplements
F-2401-2014,Supplements
F-1507-2014,Spices/Condiments
F-1235-2014,Plant Protein
F-0572-2014,Produce
F-1442-2014,Grains/Cereal
F-0708-2014,Produce
F-1490-2014,Spices/Condiments
F-0779-2014,Supplements
F-1383-2014,Plant Protein
F-1497-2014,Spices/Condiments
F-0807-2014,Supplements
F-1144-2014,Supplements
F-1155-2014,Prepared/Frozen
F-1345-2013,Baking Supplies
F-1320-2013,Snacks/Candy
F-1738-2013,Nuts/Seeds
F-1592-2013,Uncategorized
F-0786-2014,Supplements
F-1287-2013,Supplements
F-0828-2014,Bakery
F-1227-2014,Plant Protein
F-0719-2014,Produce
F-0844-2014,Snacks/Candy
F-0394-2014,Produce
F-0842-2014,Supplements
F-0832-2014,Supplements
F-0333-2014,Produce
F-0588-2014,Plant Protein
F-1240-2014,Plant Protein
F-0340-2014,Produce
F-1964-2013,Supplements
F-1388-2014,Seafood
F-0849-2014,Plant Protein
F-1865-2013,Seafood
F-0968-2013,Produce
F-1506-2014,Spices/Condiments
F-1645-2013,Prepared/Frozen
F-1542-2013,Spices/Condiments
F-0840-2014,Supplements
F-0435-2014,Plant Protein
F-1145-2014,Supplements
F-1640-2014,Supplements
F-0716-2014,Produce
F-0761-2014,Supplements
F-0472-2014,Produce
F-1073-2014,Plant Protein
F-1696-2013,Snacks/Candy
F-1407-2013,Spices/Condiments
F-0084-2014,Produce
F-0888-2014,Plant Protein
F-0711-2014,Produce
F-1734-2013,Nuts/Seeds
F-1525-2014,Spices/Condiments
F-1505-2014,Spices/Condiments
F-1637-2014,Supplements
F-1005-2014,Prepared/Frozen
F-1065-2014,Produce
F-0583-2014,Plant Protein
F-1226-2014,Prepared/Frozen
F-0917-2013,Beverages
F-1816-2013,Spices/Condiments
F-0329-2014,Produce
F-1209-2013,Snacks/Candy
F-1515-2014,Spices/Condiments
F-1685-2013,Nuts/Seeds
F-0717-2014,Produce
F-1556-2013,Bakery
F-1191-2014,Plant Protein
F-1085-2014,Produce
F-0781-2014,Supplements
F-1638-2014,Supplements
F-1522-2014,Spices/Condiments
F-1918-2013,Supplements
F-0691-2014,Supplements
F-0592-2014,Plant Protein
F-1455-2014,Supplements
F-1342-2014,Prepared/Frozen
F-0455-201,Produce
F-1555-2013,Bakery
F-1529-2014,Spices/Condiments
F-1929-2013,Supplements
F-0846-2014,Produce
F-0991-2014,Produce
F-1232-2014,Plant Protein
F-0336-2014,Produce
F-1589-2013,Grains/Cereal
F-1347-2014,Supplements
F-0104-2017,Supplements
F-2409-2014,Spices/Condiments
F-2517-2014,Supplements
F-0797-2015,Dairy
F-0106-2017,Supplements
F-1906-2014,Grains/Cereal
F-2538-2014,Grains/Cereal
F-0100-2017,Supplements
F-1272-2015,Prepared/Frozen
F-0094-2015,Produce
F-1907-2014,Grains/Cereal
F-0497-2015,Supplements
F-1621-2014,Bakery
F-1335-2015,Spices/Condiments
F-1900-2014,Grains/Cereal
F-1344-2015,Beef/Pork/Poultry/Game Meats
F-1791-2014,Dairy
F-2332-2014,Spices/Condiments
F-0576-2015,Uncategorized
F-0516-2015,Bakery
F-1910-2014,Grains/Cereal
F-0508-2015,Produce
F-1288-2015,Prepared/Frozen
F-0538-2015,Nuts/Seeds
F-0956-2015,Spices/Condiments
F-0958-2015,Spices/Condiments
F-1815-2014,Dairy
F-2016-2015,Snacks/Candy
F-0098-2017,Supplements
F-2255-2014,Supplements
F-2262-2014,Supplements
F-1694-2014,Prepared/Frozen
F-2077-2014,Spices/Condiments
F-2279-2014,Supplements
F-1816-2014,Plant Protein
F-0503-2015,Snacks/Candy
F-0445-2017,Spices/Condiments
F-2085-2014,Produce
F-2331-2014,Snacks/Candy
F-1897-2014,Grains/Cereal
F-0539-2015,Nuts/Seeds
F-1985-2014,Beverages
F-0500-2015,Snacks/Candy
F-1895-2014,Grains/Cereal
F-0922-2015,Prepared/Frozen
F-0693-2015,Dairy
F-0010-2015,Bakery
F-2227-2014,Grains/Cereal
F-0703-2015,Produce
F-0446-2017,Spices/Condiments
F-2437-2014,Supplements
F-1685-2014,Supplements
F-1891-2014,Grains/Cereal
F-2276-2014,Supplements
F-2285-2014,Supplements
F-1880-2014,Spices/Condiments
F-1310-2015,Spices/Condiments
F-0520-2015,Bakery
F-0097-2017,Supplements
F-1271-2015,Dairy
F-1605-2014,Beef/Pork/Poultry/Game Meats
F-2172-2014,Grains/Cereal
F-0524-2015,Bakery
F-2416-2015,Supplements
F-2179-2014,Supplements
F-2245-2014,Supplements
F-1376-2015,Spices/Condiments
F-1898-2014,Grains/Cereal
F-2177-2014,Supplements
F-0514-2015,Bakery
F-1894-2014,Grains/Cereal
F-2334-2014,Spices/Condiments
F-2532-2014,Plant Protein
F-2436-2014,Supplements
F-2304-2014,Spices/Condiments
F-2060-2014,Dairy
F-1987-2014,Spices/Condiments
F-0093-2017,Supplements
F-1899-2014,Grains/Cereal
F-1780-2014,Dairy
F-1478-2014,Grains/Cereal
F-2414-2015,Supplements
F-0075-2015,Prepared/Frozen
F-2266-2014,Supplements
F-0750-2015,Bakery
F-2178-2014,Supplements
F-2274-2014,Supplements
F-0742-2015,Supplements
F-0517-2015,Bakery
F-1695-2014,Prepared/Frozen
F-2516-2014,Supplements
F-2253-2014,Supplements
F-0749-2015,Spices/Condiments
F-2243-2014,Supplements
F-1603-2014,Produce
F-0471-2015,Grains/Cereal
F-1911-2014,Grains/Cereal
F-1943-2014,Spices/Condiments
F-1380-2015,Supplements
F-2280-2014,Supplements
F-1890-2014,Grains/Cereal
F-0959-2015,Spices/Condiments
F-0103-2017,Supplements
F-2249-2014,Supplements
F-0473-2015,Spices/Condiments
F-2435-2014,Supplements
F-2254-2014,Supplements
F-2330-2014,Snacks/Candy
F-1375-2015,Spices/Condiments
F-1450-2014,Produce
F-0702-2015,Produce
F-0469-2015,Nuts/Seeds
F-1408-2015,Snacks/Candy
F-2252-2014,Supplements
F-1908-2014,Grains/Cereal
F-0300-2016,Prepared/Frozen
F-2282-2014,Supplements
F-0643-2015,Produce
F-2242-2014,Supplements
F-1294-2015,Prepared/Frozen
F-0768-2015,Seafood
F-1912-2014,Grains/Cereal
F-1534-2014,Prepared/Frozen
F-2278-2014,Supplements
F-1326-2015,Spices/Condiments
F-0787-2015,Snacks/Candy
F-2819-2015,Plant Protein
F-0502-2015,Snacks/Candy
F-2052-2014,Produce
F-2088-2014,Beverages
F-0009-2015,Bakery
F-0076-2015,Bakery
F-0450-2017,Spices/Condiments
F-1782-2014,Dairy
F-0638-2015,Bakery
F-2205-2014,Uncategorized
F-2410-2014,Spices/Condiments
F-2415-2015,Supplements
F-2265-2014,Supplements
F-2261-2014,Supplements
F-0682-2015,Beverages
F-0832-2015,Prepared/Frozen
F-2260-2014,Supplements
F-1904-2014,Grains/Cereal
F-2006-2014,Dairy
F-2029-2014,Spices/Condiments
F-2250-2014,Supplements
F-2483-2014,Nuts/Seeds
F-0978-2015,Spices/Condiments
F-1449-2014,Produce
F-0101-2015,Spices/Condiments
F-0867-2015,Prepared/Frozen
F-2269-2014,Supplements
F-1784-2014,Dairy
F-1549-2014,Prepared/Frozen
F-1901-2014,Grains/Cereal
F-1312-2015,Spices/Condiments
F-1886-2014,Dairy
F-2281-2014,Supplements
F-2284-2014,Supplements
F-0566-2015,Grains/Cereal
F-2415-2014,Spices/Condiments
F-0099-2015,Snacks/Candy
F-2258-2014,Supplements
F-0449-2017,Spices/Condiments
F-0092-2015,Nuts/Seeds
F-1319-2015,Spices/Condiments
F-0582-2015,Uncategorized
F-2277-2014,Supplements
F-0569-2015,Prepared/Frozen
F-1374-2015,Spices/Condiments
F-2305-2014,Produce
F-2043-2014,Non-Food Item
F-2004-2014,Spices/Condiments
F-2061-2014,Supplements
F-1902-2014,Grains/Cereal
F-2248-2014,Supplements
F-2264-2014,Supplements
F-2244-2014,Supplements
F-1557-2014,Produce
F-1788-2014,Dairy
F-2247-2014,Supplements
F-2256-2014,Supplements
F-1909-2014,Grains/Cereal
F-1320-2015,Spices/Condiments
F-2407-2014,Nuts/Seeds
F-0025-2015,Spices/Condiments
F-2056-2014,Seafood
F-1558-2014,Produce
F-1477-2014,Supplements
F-1896-2014,Grains/Cereal
F-2329-2014,Snacks/Candy
F-1903-2014,Grains/Cereal
F-0102-2017,Supplements
F-1883-2015,Spices/Condiments
F-2525-2014,Plant Protein
F-1968-2014,Prepared/Frozen
F-2015-2015,Snacks/Candy
F-2523-2014,Plant Protein
F-1892-2014,Grains/Cereal
F-2396-2014,Nuts/Seeds
F-1494-2014,Prepared/Frozen
F-2515-2014,Supplements
F-2190-2014,Bakery
F-0108-2017,Supplements
F-1311-2015,Spices/Condiments
F-2527-2014,Plant Protein
F-0008-2015,Bakery
F-2091-2014,Spices/Condiments
F-1495-2014,Prepared/Frozen
F-2246-2014,Supplements
F-0772-2015,Produce
F-1889-2014,Grains/Cereal
F-1905-2014,Grains/Cereal
F-0042-2015,Spices/Condiments
F-0455-2015,Produce
F-0977-2015,Spices/Condiments
F-0710-2015,Supplements
F-0911-2015,Produce
F-2528-2014,Plant Protein
F-2014-2015,Snacks/Candy
F-1876-2015,Spices/Condiments
F-0470-2015,Grains/Cereal
F-0453-2017,Spices/Condiments
F-1548-2014,Prepared/Frozen
F-1946-2015,Supplements
F-0724-2015,Bakery
F-2251-2014,Supplements
F-0919-2015,Prepared/Frozen
F-0515-2015,Bakery
F-1277-2015,Prepared/Frozen
F-2271-2014,Supplements
F-0105-2017,Supplements
F-1592-2014,Beverages
F-0107-2017,Supplements
F-1747-2014,Bakery
F-0754-2015,Beverages
F-2263-2014,Supplements
F-1893-2014,Grains/Cereal
F-1324-2015,Spices/Condiments
F-2283-2014,Supplements
F-2170-2014,Produce
F-2943-2015,Supplements
F-1318-2015,Spices/Condiments
F-0769-2015,Nuts/Seeds
F-1229-2015,Prepared/Frozen
F-1783-2014,Dairy
F-0018-2015,Supplements
F-2402-2014,Spices/Condiments
F-1781-2014,Dairy
F-1681-2015,Supplements
F-0533-2016,Seafood
F-0285-2016,Produce
F-1702-2015,Supplements
F-1587-2015,Supplements
F-2400-2015,Supplements
F-2190-2015,Spices/Condiments
F-0087-2016,Dairy
F-2466-2015,Dairy
F-0176-2016,Nuts/Seeds
F-1737-2015,Supplements
F-1706-2015,Supplements
F-2399-2015,Supplements
F-0376-2016,Dairy
F-0157-2016,Nuts/Seeds
F-1995-2015,Spices/Condiments
F-0150-2016,Nuts/Seeds
F-1714-2015,Supplements
F-0464-2016,Spices/Condiments
F-2766-2015,Beverages
F-0437-2016,Baking Supplies
F-1964-2016,Seafood
F-3235-2015,Dairy
F-1732-2015,Supplements
F-0319-2016,Snacks/Candy
F-2365-2015,Plant Protein
F-2926-2015,Dairy
F-2674-2015,Dairy
F-1662-2015,Supplements
F-0412-2016,Produce
F-1850-2015,Spices/Condiments
F-3263-2015,Baking Supplies
F-2494-2015,Dairy
F-1707-2015,Supplements
F-0317-2016,Snacks/Candy
F-0852-2016,Grains/Cereal
F-3264-2015,Baking Supplies
F-1787-2015,Nuts/Seeds
F-2923-2015,Prepared/Frozen
F-1909-2015,Prepared/Frozen
F-0423-2016,Snacks/Candy
F-0347-2016,Plant Protein
F-2597-2015,Dairy
F-2932-215,Bakery
F-2500-2015,Dairy
F-2223-2015,Spices/Condiments
F-2498-2015,Dairy
F-2204-2015,Bakery
F-2885-2015,Dairy
F-0154-2016,Nuts/Seeds
F-1665-2015,Supplements
F-0847-2016,Grains/Cereal
F-0421-2016,Grains/Cereal
F-1771-2015,Supplements
F-2237-2015,Plant Protein
F-2924-2015,Prepared/Frozen
F-1713-2015,Supplements
F-2502-2015,Dairy
F-0596-2016,Bakery
F-1739-2015,Supplements
F-0088-2016,Dairy
F-0132-2016,Spices/Condiments
F-2783-2015,Beef/Pork/Poultry/Game Meats
F-1710-2015,Supplements
F-1663-2015,Supplements
F-2170-2015,Dairy
F-1733-2015,Supplements
F-148-2016,Plant Protein
F-0194-2016,Spices/Condiments
F-0438-2016,Baking Supplies
F-2927-2015,Prepared/Frozen
F-1429-2015,Produce
F-0499-2016,Spices/Condiments
F-0069-2016,Dairy
F-0846-2016,Grains/Cereal
F-3262-2015,Baking Supplies
F-1696-2015,Supplements
F-0873-2016,Grains/Cereal
F-0409-2016,Baking Supplies
F-2396-2015,Supplements
F-1098-2017,Spices/Condiments
F-0413-2016,Bakery
F-1654-2015,Supplements
F-3043-2015,Spices/Condiments
F-2501-2015,Dairy
F-0232-2016,Bakery
F-1742-2015,Supplements
F-1666-2015,Supplements
F-0375-2016,Dairy
F-0806-2016,Grains/Cereal
F-1774-2015,Supplements
F-2088-2015,Produce
F-2730-2015,Dairy
F-0402-2016,Baking Supplies
F-0963-2017,Supplements
F-1412-2015,Spices/Condiments
F-2228-2015,Prepared/Frozen
F-1734-2015,Supplements
F-0411-2016,Snacks/Candy
F-2239-2015,Prepared/Frozen
F-1729-2015,Supplements
F-0239-2016,Bakery
F-0128-2016,Produce
F-2936-2015,Bakery
F-0410-2016,Spices/Condiments
F-1712-2015,Supplements
F-0845-2016,Grains/Cereal
F-2263-2015,Nuts/Seeds
F-0237-2016,Bakery
F-2944-2015,Grains/Cereal
F-1857-2015,Beverages
F-2300-2015,Snacks/Candy
F-1379-2015,Spices/Condiments
F-1743-2015,Supplements
F-0938-2017,Supplements
F-2965-2015,Prepared/Frozen
F-0467-2016,Snacks/Candy
F-2488-2015,Dairy
F-2935-2015,Produce
F-3265-2015,Baking Supplies
F-1651-2015,Supplements
F-2189-2015,Spices/Condiments
F-1736-2015,Supplements
F-1942-2015,Spices/Condiments
F-1070-2016,Snacks/Candy
F-0217-2016,Produce
F-0959-2017,Supplements
F-1941-2015,Spices/Condiments
F-1729-2017,Seafood
F-0439-2016,Baking Supplies
F-1789-2015,Spices/Condiments
F-1701-2015,Supplements
F-1997-2015,Spices/Condiments
F-0153-2016,Nuts/Seeds
F-1768-2015,Supplements
F-0374-2016,Dairy
F-2485-2015,Dairy
F-0875-2016,Bakery
F-0234-2016,Bakery
F-0286-2016,Produce
F-0401-2016,Baking Supplies
F-0152-2016,Nuts/Seeds
F-3045-2015,Spices/Condiments
F-1757-2015,Supplements
F-0406-2016,Baking Supplies
F-1524-2017,Bakery
F-3266-2015,Baking Supplies
F-3245-2015,Supplements
F-1776-2015,Supplements
F-0061-2016,Supplements
F-1657-2015,Supplements
F-0400-2016,Baking Supplies
F-0458-2016,Grains/Cereal
F-0855-2016,Grains/Cereal
F-2164-2015,Uncategorized
F-0346-2016,Plant Protein
F-1700-2015,Supplements
F-2953-2015,Supplements
F-2922-2015,Prepared/Frozen
F-0076-2016,Dairy
F-1852-2015,Spices/Condiments
F-1720-2015,Supplements
F-0460-2016,Grains/Cereal
F-1727-2017,Seafood
F-1029-2015,Plant Protein
F-0408-2016,Baking Supplies
F-1694-2015,Supplements
F-1764-2015,Supplements
F-1697-2015,Supplements
F-1752-2015,Supplements
F-2260-2015,Nuts/Seeds
F-1669-2015,Supplements
F-1659-2015,Supplements
F-0404-2016,Baking Supplies
F-0147-2016,Grains/Cereal
F-0528-2016,Produce
F-2032-2015,Spices/Condiments
F-2048-2015,Spices/Condiments
F-3257-2015,Supplements
F-2266-2015,Nuts/Seeds
F-0966-2017,Supplements
F-2192-2015,Spices/Condiments
F-2235-2015,Prepared/Frozen
F-0175-2016,Nuts/Seeds
F-1727-2015,Supplements
F-1754-2015,Supplements
F-3260-2015,Baking Supplies
F-2244-2015,Plant Protein
F-1751-2015,Supplements
F-1939-2015,Bakery
F-2200-2015,Snacks/Candy
F-2401-2015,Supplements
F-2387-2015,Spices/Condiments
F-2702-2015,Supplements
F-2217-2015,Prepared/Frozen
F-1426-2015,Bakery
F-1586-2015,Supplements
F-2205-2015,Bakery
F-1678-2015,Supplements
F-1745-2015,Supplements
F-0498-2016,Spices/Condiments
F-1091-2017,Spices/Condiments
F-0079-2016,Dairy
F-2722-2015,Dairy
F-2675-2015,Dairy
F-1447-2015,Dairy
F-0233-2016,Bakery
F-2096-2015,Plant Protein
F-0238-2016,Bakery
F-1695-2015,Supplements
F-1202-2015,Supplements
F-2972-2015,Bakery
F-1728-2015,Supplements
F-1863-2015,Bakery
F-0854-2016,Grains/Cereal
F-1767-2015,Supplements
F-074-2016,Nuts/Seeds
F-1693-2015,Supplements
F-1759-2015,Supplements
F-1645-2015,Supplements
F-1853-2015,Spices/Condiments
F-1769-2015,Supplements
F-1640-2015,Supplements
F-1197-2015,Bakery
F-1762-2015,Supplements
F-1709-2015,Supplements
F-1725-2015,Supplements
F-0856-2016,Grains/Cereal
F-1744-2015,Supplements
F-1092-2016,Grains/Cereal
F-0073-2016,Dairy
F-1948-2015,Non-Food Item
F-1039-2015,Spices/Condiments
F-0348-2016,Plant Protein
F-0461-2016,Grains/Cereal
F-2188-2015,Spices/Condiments
F-2723-2015,Dairy
F-0418-2016,Spices/Condiments
F-2150-2015,Produce
F-1964-2015,Bakery
F-1849-2015,Spices/Condiments
F-3261-2015,Baking Supplies
F-1078-2016,Bakery
F-0236-2016,Bakery
F-1993-2015,Spices/Condiments
F-0001-2016,Produce
F-2961-2015,Dairy
F-1960-2016,Seafood
F-1755-2015,Supplements
F-2482-2015,Dairy
F-0459-2016,Grains/Cereal
F-1705-2015,Supplements
F-2960-2015,Spices/Condiments
F-2230-2015,Plant Protein
F-0579-2016,Seafood
F-2676-2015,Dairy
F-0403-2016,Baking Supplies
F-2598-2015,Dairy
F-0151-2016,Nuts/Seeds
F-1079-2016,Bakery
F-0155-2016,Nuts/Seeds
F-0314-2016,Snacks/Candy
F-2510-2015,Dairy
