recall_number,category,confidence
F-0009-2024,Baby/Toddler Food,high
F-0010-2013,Produce,high
F-0010-2014,Beverages,high
F-0010-2015,Bakery,high
F-0010-2016,Grains/Cereal,high
F-0010-2017,Bakery,high
F-0010-2018,Spices/Condiments,medium
F-0010-2019,Bakery,high
F-0010-2020,Grains/Cereal,high
F-0010-2021,Dairy,high
F-0010-2022,Supplements,high
F-0010-2023,Produce,medium
F-0010-2024,Bakery,high
F-0011-2013,Produce,high
F-0011-2014,Beverages,high
F-0011-2015,Bakery,high
F-0011-2016,Grains/Cereal,high
F-0011-2017,Bakery,high
F-0011-2019,Bakery,high
F-0011-2020,Produce,high
F-0011-2021,Dairy,high
F-0011-2022,Dairy,high
F-0011-2023,Produce,medium
F-0011-2024,Snacks/Candy,high
F-0011-2025,Dairy,high
F-0012-2013,Produce,high
F-0012-2014,Dairy,high
F-0012-2015,Bakery,high
F-0012-2016,Produce,medium
F-0012-2017,Bakery,high
F-0012-2018,Snacks/Candy,high
F-0012-2019,Bakery,high
F-0012-2020,Seafood,high
F-0012-2021,Dairy,high
F-0012-2022,Dairy,high
F-0012-2023,Produce,high
F-0012-2024,Nuts/Seeds,high
F-0012-2025,Dairy,high
F-0013-2013,Produce,high
F-0013-2014,Dairy,high
F-0013-2015,Bakery,high
F-0013-2016,Baby/Toddler Food,low
F-0013-2017,Bakery,high
F-0013-2018,Snacks/Candy,medium
F-0013-2019,Bakery,high
F-0013-2020,Spices/Condiments,medium
F-0013-2021,Dairy,high
F-0013-2022,Produce,high
F-0013-2023,Spices/Condiments,high
F-0013-2024,Prepared/Frozen,high
F-0013-2025,Dairy,high
F-0014-2013,Produce,high
F-0014-2014,Dairy,high
F-0014-2015,Snacks/Candy,high
F-0014-2016,Produce,medium
F-0014-2017,Bakery,high
F-0014-2018,Snacks/Candy,medium
F-0014-2019,Bakery,high
F-0014-2020,Bakery,high
F-0014-2021,Prepared/Frozen,medium
F-0014-2022,Produce,high
F-0014-2023,Produce,high
F-0014-2024,Produce,medium
F-0014-2025,Bakery,high
F-0015-2013,Produce,high
F-0015-2014,Dairy,high
F-0015-2015,Grains/Cereal,high
F-0015-2016,Baby/Toddler Food,low
F-0015-2017,Bakery,high
F-0015-2018,Snacks/Candy,medium
F-0015-2019,Bakery,high
F-0015-2020,Bakery,medium
F-0015-2021,Seafood,high
F-0015-2022,Plant Protein,medium
F-0015-2023,Spices/Condiments,high
F-0015-2024,Prepared/Frozen,high
F-0015-2025,Bakery,high
F-0016-2013,Produce,high
F-0016-2014,Dairy,high
F-0016-2015,Baby/Toddler Food,high
F-0016-2016,Produce,medium
F-0016-2017,Bakery,high
F-0016-2018,Snacks/Candy,high
F-0016-2020,Bakery,medium
F-0016-2021,Produce,low
F-0016-2022,Spices/Condiments,high
F-0016-2023,Produce,low
F-0016-2024,Prepared/Frozen,high
F-0016-2025,Bakery,high
F-0017-2013,Produce,high
F-0017-2014,Dairy,high
F-0017-2015,Baby/Toddler Food,high
F-0017-2016,Produce,medium
F-0017-2017,Bakery,high
F-0017-2018,Produce,high
F-0017-2019,Snacks/Candy,medium
F-0017-2020,Bakery,high
F-0017-2021,Spices/Condiments,medium
F-0017-2022,Plant Protein,medium
F-0017-2023,Spices/Condiments,high
F-0017-2024,Prepared/Frozen,medium
F-0017-2025,Bakery,high
F-0018-2013,Produce,high
F-0018-2014,Dairy,high
F-0018-2015,Supplements,high
F-0018-2016,Produce,medium
F-0018-2017,Bakery,high
F-0018-2018,Spices/Condiments,high
F-0018-2020,Bakery,high
F-0018-2021,Spices/Condiments,high
F-0018-2022,Spices/Condiments,high
F-0018-2023,Plant Protein,medium
F-0018-2024,Prepared/Frozen,high
F-0018-2025,Bakery,high
F-0019-2013,Produce,high
F-0019-2014,Dairy,high
F-0019-2015,Snacks/Candy,high
F-0019-2016,Produce,medium
F-0019-2017,Bakery,high
F-0019-2018,Spices/Condiments,high
F-0019-2019,Dairy,high
F-0019-2020,Bakery,high
F-0019-2021,Bakery,high
F-0019-2022,Bakery,high
F-0019-2023,Produce,high
F-0019-2024,Prepared/Frozen,high
F-0019-2025,Bakery,high
F-0020-2013,Produce,high
F-0020-2014,Dairy,high
F-0020-2015,Produce,high
F-0020-2016,Produce,medium
F-0020-2017,Bakery,high
F-0020-2018,Produce,high
F-0020-2019,Spices/Condiments,high
F-0020-2020,Snacks/Candy,medium
F-0020-2021,Bakery,high
F-0020-2022,Dairy,high
F-0020-2023,Produce,medium
F-0020-2024,Prepared/Frozen,high
F-0020-2025,Bakery,high
F-0021-2013,Produce,high
F-0021-2014,Dairy,high
F-0021-2015,Produce,medium
F-0021-2016,Produce,medium
F-0021-2017,Bakery,high
F-0021-2018,Produce,high
F-0021-2019,Bakery,medium
F-0021-2020,Snacks/Candy,high
F-0021-2021,Bakery,high
F-0021-2022,Dairy,high
F-0021-2023,Produce,medium
F-0021-2024,Prepared/Frozen,high
F-0021-2025,Bakery,high
F-0022-2013,Dairy,medium
F-0022-2014,Dairy,high
F-0022-2015,Dairy,high
F-0022-2016,Produce,medium
F-0022-2017,Bakery,high
F-0022-2018,Prepared/Frozen,low
F-0022-2019,Snacks/Candy,high
F-0022-2020,Baby/Toddler Food,high
F-0022-2021,Bakery,high
F-0022-2022,Dairy,high
F-0022-2023,Produce,high
F-0022-2024,Prepared/Frozen,high
F-0022-2025,Bakery,high
F-0023-2013,Produce,high
F-0023-2014,Dairy,high
F-0023-2015,Eggs,high
F-0023-2016,Produce,medium
F-0023-2017,Bakery,high
F-0023-2018,Prepared/Frozen,medium
F-0023-2019,Bakery,high
F-0023-2020,Produce,medium
F-0023-2021,Bakery,high
F-0023-2022,Produce,medium
F-0023-2023,Produce,medium
F-0023-2024,Prepared/Frozen,medium
F-0023-2025,Bakery,high
F-0024-2013,Spices/Condiments,high
F-0024-2014,Dairy,high
F-0024-2015,Spices/Condiments,high
F-0024-2016,Produce,medium
F-0024-2017,Bakery,high
F-0024-2018,Spices/Condiments,medium
F-0024-2019,Bakery,high
F-0024-2020,Produce,low
F-0024-2021,Bakery,high
F-0024-2022,Produce,high
F-0024-2023,Produce,high
F-0024-2024,Prepared/Frozen,medium
F-0024-2025,Dairy,high
F-0025-2013,Seafood,high
F-0025-2014,Dairy,high
F-0025-2015,Spices/Condiments,high
F-0025-2016,Bakery,medium
F-0025-2017,Bakery,high
F-0025-2018,Beverages,high
F-0025-2019,Bakery,high
F-0025-2020,Seafood,high
F-0025-2021,Bakery,high
F-0025-2022,Bakery,high
F-0025-2023,Produce,high
F-0025-2024,Eggs,medium
F-0025-2025,Beverages,high
F-0026-2013,Produce,high
F-0026-2014,Dairy,high
F-0026-2015,Grains/Cereal,medium
F-0026-2016,Snacks/Candy,high
F-0026-2017,Bakery,high
F-0026-2018,Beverages,high
F-0026-2019,Bakery,high
F-0026-2020,Snacks/Candy,high
F-0026-2021,Produce,medium
F-0026-2022,Bakery,high
F-0026-2023,Spices/Condiments,low
F-0026-2024,Prepared/Frozen,high
F-0026-2025,Dairy,high
F-0027-2013,Produce,high
F-0027-2014,Dairy,high
F-0027-2015,Snacks/Candy,high
F-0027-2016,Snacks/Candy,high
F-0027-2017,Bakery,high
F-0027-2018,Prepared/Frozen,high
F-0027-2019,Dairy,medium
F-0027-2020,Snacks/Candy,high
F-0027-2021,Produce,high
F-0027-2022,Food Additives/Ingredients,high
F-0027-2023,Produce,medium
F-0027-2024,Prepared/Frozen,medium
F-0027-2025,Dairy,high
F-0028-2013,Nuts/Seeds,high
F-0028-2014,Dairy,high
F-0028-2015,Prepared/Frozen,high
F-0028-2016,Prepared/Frozen,low
F-0028-2017,Bakery,high
F-0028-2018,Beverages,high
F-0028-2019,Eggs,high
F-0028-2020,Snacks/Candy,high
F-0028-2021,Prepared/Frozen,medium
F-0028-2022,Bakery,high
F-0028-2023,Produce,medium
F-0028-2024,Prepared/Frozen,medium
F-0028-2025,Dairy,medium
F-0029-2013,Produce,high
F-0029-2014,Dairy,high
F-0029-2015,Prepared/Frozen,high
F-0029-2016,Supplements,medium
F-0029-2017,Bakery,high
F-0029-2018,Dairy,high
F-0029-2019,Dairy,high
F-0029-2020,Snacks/Candy,high
F-0029-2021,Spices/Condiments,high
F-0029-2022,Bakery,high
F-0029-2023,Produce,medium
F-0029-2024,Prepared/Frozen,medium
F-0029-2025,Dairy,medium
F-0030-2013,Produce,high
F-0030-2014,Dairy,high
F-0030-2015,Seafood,high
F-0030-2016,Supplements,high
F-0030-2017,Bakery,high
F-0030-2018,Beverages,high
F-0030-2019,Uncategorized,low
F-0030-2020,Beverages,medium
F-0030-2021,Nuts/Seeds,high
F-0030-2022,Bakery,high
F-0030-2023,Supplements,high
F-0030-2024,Prepared/Frozen,high
F-0030-2025,Dairy,medium
F-0031-2013,Produce,high
F-0031-2014,Dairy,high
F-0031-2015,Seafood,high
F-0031-2016,Supplements,high
F-0031-2017,Bakery,high
F-0031-2018,Prepared/Frozen,high
F-0031-2019,Nuts/Seeds,high
F-0031-2020,Baking Supplies,low
F-0031-2021,Bakery,medium
F-0031-2022,Bakery,high
F-0031-2023,Supplements,high
F-0031-2024,Prepared/Frozen,medium
F-0031-2025,Plant Protein,high
F-0032-2013,Produce,high
F-0032-2014,Dairy,high
F-0032-2015,Seafood,high
F-0032-2016,Supplements,medium
F-0032-2017,Bakery,high
F-0032-2018,Bakery,high
F-0032-2019,Beverages,high
F-0032-2020,Beverages,medium
F-0032-2021,Prepared/Frozen,high
F-0032-2022,Bakery,high
F-0032-2023,Supplements,high
F-0032-2024,Prepared/Frozen,high
F-0032-2025,Produce,high
F-0033-2013,Produce,high
F-0033-2014,Dairy,high
F-0033-2015,Seafood,high
F-0033-2016,Supplements,high
F-0033-2017,Bakery,high
F-0033-2018,Dairy,high
F-0033-2019,Beverages,high
F-0033-2020,Snacks/Candy,medium
F-0033-2021,Seafood,high
F-0033-2022,Bakery,high
F-0033-2023,Beverages,high
F-0033-2024,Prepared/Frozen,high
F-0033-2025,Produce,high
F-0034-2013,Produce,high
F-0034-2014,Dairy,high
F-0034-2015,Seafood,high
F-0034-2016,Supplements,high
F-0034-2017,Bakery,high
F-0034-2018,Beverages,high
F-0034-2019,Beverages,high
F-0034-2020,Seafood,high
F-0034-2021,Spices/Condiments,medium
F-0034-2022,Bakery,high
F-0034-2023,Seafood,high
F-0034-2024,Prepared/Frozen,high
F-0034-2025,Beverages,medium
F-0035-2013,Produce,high
F-0035-2014,Dairy,high
F-0035-2015,Seafood,high
F-0035-2016,Supplements,high
F-0035-2017,Bakery,high
F-0035-2018,Prepared/Frozen,high
F-0035-2019,Prepared/Frozen,medium
F-0035-2020,Produce,high
F-0035-2021,Spices/Condiments,medium
F-0035-2022,Bakery,high
F-0035-2023,Seafood,medium
F-0035-2024,Prepared/Frozen,high
F-0035-2025,Snacks/Candy,medium
F-0036-2013,Produce,high
F-0036-2014,Dairy,high
F-0036-2015,Seafood,high
F-0036-2016,Supplements,high
F-0036-2017,Bakery,high
F-0036-2018,Grains/Cereal,high
F-0036-2019,Prepared/Frozen,medium
F-0036-2020,Bakery,high
F-0036-2021,Spices/Condiments,high
F-0036-2022,Bakery,high
F-0036-2024,Prepared/Frozen,high
F-0036-2025,Bakery,high
F-0037-2013,Produce,high
F-0037-2014,Dairy,high
F-0037-2015,Seafood,high
F-0037-2016,Supplements,medium
F-0037-2017,Bakery,high
F-0037-2018,Grains/Cereal,high
F-0037-2019,Snacks/Candy,high
F-0037-2020,Dairy,high
F-0037-2021,Spices/Condiments,high
F-0037-2022,Bakery,high
F-0037-2023,Supplements,high
F-0037-2024,Prepared/Frozen,high
F-0037-2025,Snacks/Candy,medium
F-0038-2013,Seafood,high
F-0038-2014,Dairy,high
F-0038-2015,Seafood,high
F-0038-2016,Supplements,high
F-0038-2017,Bakery,high
F-0038-2018,Plant Protein,medium
F-0038-2019,Produce,high
F-0038-2020,Dairy,high
F-0038-2021,Spices/Condiments,high
F-0038-2022,Bakery,high
F-0038-2023,Nuts/Seeds,medium
F-0038-2024,Prepared/Frozen,high
F-0038-2025,Prepared/Frozen,medium
F-0039-2013,Seafood,high
F-0039-2014,Dairy,high
F-0039-2015,Seafood,low
F-0039-2016,Supplements,high
F-0039-2017,Seafood,medium
F-0039-2018,Prepared/Frozen,high
F-0039-2020,Dairy,high
F-0039-2021,Spices/Condiments,high
F-0039-2022,Bakery,high
F-0039-2023,Dairy,high
F-0039-2024,Prepared/Frozen,high
F-0039-2025,Produce,medium
F-0040-2013,Seafood,medium
F-0040-2014,Dairy,high
F-0040-2015,Snacks/Candy,high
F-0040-2016,Supplements,high
F-0040-2017,Beef/Pork/Poultry/Game Meats,high
F-0040-2018,Dairy,low
F-0040-2020,Bakery,high
F-0040-2021,Spices/Condiments,high
F-0040-2022,Bakery,high
F-0040-2023,Dairy,high
F-0040-2024,Prepared/Frozen,high
F-0040-2025,Produce,medium
F-0041-2013,Seafood,high
F-0041-2014,Dairy,high
F-0041-2015,Snacks/Candy,medium
F-0041-2016,Supplements,high
F-0041-2017,Seafood,high
F-0041-2018,Produce,high
F-0041-2020,Produce,high
F-0041-2021,Spices/Condiments,high
F-0041-2022,Bakery,high
F-0041-2023,Dairy,high
F-0041-2024,Prepared/Frozen,medium
F-0041-2025,Produce,medium
F-0042-2013,Seafood,high
F-0042-2014,Dairy,high
F-0042-2015,Spices/Condiments,high
F-0042-2016,Supplements,high
F-0042-2017,Grains/Cereal,medium
F-0042-2018,Produce,high
F-0042-2020,Prepared/Frozen,high
F-0042-2021,Spices/Condiments,medium
F-0042-2022,Bakery,high
F-0042-2023,Dairy,high
F-0042-2024,Bakery,high
F-0042-2025,Seafood,high
F-0043-2013,Seafood,high
F-0043-2014,Dairy,high
F-0043-2015,Bakery,medium
F-0043-2016,Supplements,high
F-0043-2017,Snacks/Candy,high
F-0043-2018,Produce,high
F-0043-2020,Prepared/Frozen,high
F-0043-2021,Spices/Condiments,high
F-0043-2022,Bakery,high
F-0043-2023,Snacks/Candy,medium
F-0043-2024,Prepared/Frozen,low
F-0043-2025,Produce,medium
F-0044-2013,Seafood,high
F-0044-2014,Dairy,high
F-0044-2015,Bakery,low
F-0044-2016,Supplements,high
F-0044-2017,Snacks/Candy,high
F-0044-2018,Produce,high
F-0044-2020,Prepared/Frozen,high
F-0044-2021,Spices/Condiments,high
F-0044-2022,Bakery,high
F-0044-2023,Snacks/Candy,medium
F-0044-2024,Prepared/Frozen,medium
F-0044-2025,Produce,medium
F-0045-2013,Seafood,high
F-0045-2014,Dairy,high
F-0045-2015,Bakery,medium
F-0045-2016,Supplements,high
F-0045-2017,Spices/Condiments,high
F-0045-2018,Prepared/Frozen,medium
F-0045-2020,Prepared/Frozen,high
F-0045-2021,Spices/Condiments,high
F-0045-2022,Bakery,high
F-0045-2023,Baby/Toddler Food,high
F-0045-2024,Prepared/Frozen,medium
F-0045-2025,Produce,medium
F-0046-2013,Seafood,high
F-0046-2014,Dairy,high
F-0046-2015,Snacks/Candy,medium
F-0046-2016,Supplements,high
F-0046-2017,Dairy,high
F-0046-2018,Produce,medium
F-0046-2020,Prepared/Frozen,medium
F-0046-2021,Spices/Condiments,high
F-0046-2022,Bakery,high
F-0046-2023,Snacks/Candy,high
F-0046-2024,Prepared/Frozen,medium
F-0046-2025,Seafood,high
F-0047-2013,Seafood,high
F-0047-2014,Dairy,high
F-0047-2015,Snacks/Candy,high
F-0047-2016,Supplements,medium
F-0047-2017,Snacks/Candy,medium
F-0047-2018,Prepared/Frozen,medium
F-0047-2020,Prepared/Frozen,medium
F-0047-2021,Spices/Condiments,high
F-0047-2022,Bakery,high
F-0047-2023,Snacks/Candy,high
F-0047-2024,Produce,medium
F-0047-2025,Nuts/Seeds,high
F-0048-2013,Seafood,high
F-0048-2014,Dairy,high
F-0048-2015,Snacks/Candy,high
F-0048-2017,Snacks/Candy,medium
F-0048-2018,Produce,medium
F-0048-2020,Beverages,medium
F-0048-2021,Spices/Condiments,high
F-0048-2022,Snacks/Candy,medium
F-0048-2023,Supplements,high
F-0048-2024,Produce,medium
F-0048-2025,Produce,medium
F-0048-2916,Supplements,high
F-0049-2013,Seafood,high
F-0049-2014,Dairy,high
F-0049-2015,Snacks/Candy,high
F-0049-2016,Supplements,high
F-0049-2017,Supplements,high
F-0049-2018,Produce,high
F-0049-2020,Beverages,high
F-0049-2021,Spices/Condiments,high
F-0049-2022,Snacks/Candy,medium
F-0049-2023,Spices/Condiments,medium
F-0049-2024,Produce,medium
F-0049-2025,Produce,medium
F-0050-2013,Plant Protein,high
F-0050-2014,Dairy,high
F-0050-2015,Prepared/Frozen,low
F-0050-2016,Supplements,high
F-0050-2017,Prepared/Frozen,high
F-0050-2018,Seafood,high
F-0050-2019,Dairy,high
F-0050-2020,Seafood,high
F-0050-2021,Spices/Condiments,high
F-0050-2022,Snacks/Candy,medium
F-0050-2023,Spices/Condiments,medium
F-0050-2024,Prepared/Frozen,high
F-0050-2025,Seafood,high
F-0051-2013,Plant Protein,high
F-0051-2014,Dairy,high
F-0051-2015,Beef/Pork/Poultry/Game Meats,low
F-0051-2016,Supplements,high
F-0051-2017,Snacks/Candy,medium
F-0051-2018,Seafood,high
F-0051-2019,Snacks/Candy,high
F-0051-2020,Nuts/Seeds,high
F-0051-2021,Spices/Condiments,high
F-0051-2022,Snacks/Candy,medium
F-0051-2023,Spices/Condiments,high
F-0051-2024,Dairy,medium
F-0051-2025,Dairy,high
F-0052-2013,Plant Protein,high
F-0052-2014,Dairy,high
F-0052-2015,Beef/Pork/Poultry/Game Meats,low
F-0052-2016,Supplements,high
F-0052-2017,Bakery,high
F-0052-2018,Seafood,high
F-0052-2019,Prepared/Frozen,high
F-0052-2020,Nuts/Seeds,high
F-0052-2021,Spices/Condiments,high
F-0052-2022,Snacks/Candy,medium
F-0052-2023,Supplements,medium
F-0052-2024,Dairy,medium
F-0052-2025,Dairy,low
F-0053-2013,Plant Protein,high
F-0053-2014,Dairy,high
F-0053-2015,Beef/Pork/Poultry/Game Meats,low
F-0053-2016,Supplements,medium
F-0053-2017,Bakery,high
F-0053-2018,Seafood,high
F-0053-2019,Dairy,high
F-0053-2020,Seafood,high
F-0053-2021,Spices/Condiments,high
F-0053-2022,Bakery,high
F-0053-2023,Supplements,medium
F-0053-2024,Dairy,medium
F-0053-2025,Supplements,high
F-0054-2013,Dairy,high
F-0054-2014,Dairy,high
F-0054-2015,Bakery,medium
F-0054-2016,Supplements,high
F-0054-2017,Bakery,high
F-0054-2018,Seafood,high
F-0054-2020,Bakery,medium
F-0054-2021,Spices/Condiments,high
F-0054-2022,Nuts/Seeds,high
F-0054-2023,Supplements,medium
F-0054-2024,Bakery,high
F-0054-2025,Dairy,high
F-0055-2013,Dairy,high
F-0055-2014,Dairy,high
F-0055-2015,Prepared/Frozen,low
F-0055-2016,Supplements,high
F-0055-2017,Bakery,high
F-0055-2018,Seafood,high
F-0055-2020,Dairy,high
F-0055-2021,Spices/Condiments,high
F-0055-2022,Nuts/Seeds,high
F-0055-2023,Supplements,high
F-0055-2024,Prepared/Frozen,high
F-0055-2025,Spices/Condiments,high
F-0056-2013,Dairy,high
F-0056-2014,Dairy,high
F-0056-2015,Baby/Toddler Food,medium
F-0056-2016,Supplements,high
F-0056-2017,Bakery,high
F-0056-2018,Seafood,high
F-0056-2020,Prepared/Frozen,high
F-0056-2021,Spices/Condiments,high
F-0056-2022,Nuts/Seeds,high
F-0056-2023,Supplements,medium
F-0056-2024,Prepared/Frozen,high
F-0056-2025,Prepared/Frozen,high
F-0057-2013,Dairy,high
F-0057-2014,Dairy,high
F-0057-2015,Baby/Toddler Food,medium
F-0057-2016,Supplements,high
F-0057-2017,Bakery,high
F-0057-2018,Seafood,high
F-0057-2019,Prepared/Frozen,medium
F-0057-2020,Seafood,high
F-0057-2021,Spices/Condiments,medium
F-0057-2022,Nuts/Seeds,medium
F-0057-2023,Supplements,medium
F-0057-2024,Prepared/Frozen,high
F-0057-2025,Bakery,high
F-0058-2013,Dairy,high
F-0058-2014,Dairy,high
F-0058-2015,Baby/Toddler Food,medium
F-0058-2016,Supplements,high
F-0058-2017,Bakery,high
F-0058-2018,Seafood,high
F-0058-2019,Supplements,low
F-0058-2020,Seafood,high
F-0058-2021,Spices/Condiments,high
F-0058-2022,Nuts/Seeds,high
F-0058-2023,Supplements,medium
F-0058-2024,Prepared/Frozen,high
F-0058-2025,Beverages,high
F-0059-2013,Dairy,high
F-0059-2014,Dairy,high
F-0059-2015,Produce,high
F-0059-2016,Supplements,high
F-0059-2017,Bakery,high
F-0059-2018,Seafood,high
F-0059-2019,Spices/Condiments,high
F-0059-2020,Grains/Cereal,high
F-0059-2021,Spices/Condiments,high
F-0059-2022,Nuts/Seeds,high
F-0059-2023,Supplements,medium
F-0059-2024,Prepared/Frozen,high
F-0059-2025,Beverages,high
F-0060-2013,Dairy,high
F-0060-2014,Dairy,high
F-0060-2015,Eggs,high
F-0060-2016,Supplements,high
F-0060-2017,Bakery,high
F-0060-2018,Seafood,high
F-0060-2019,Spices/Condiments,high
F-0060-2020,Produce,high
F-0060-2021,Spices/Condiments,high
F-0060-2022,Nuts/Seeds,high
F-0060-2023,Supplements,medium
F-0060-2024,Prepared/Frozen,high
F-0060-2025,Beverages,high
F-0061-2013,Dairy,high
F-0061-2014,Dairy,high
F-0061-2015,Eggs,high
F-0061-2016,Supplements,high
F-0061-2017,Bakery,high
F-0061-2018,Seafood,high
F-0061-2019,Beef/Pork/Poultry/Game Meats,high
F-0061-2020,Supplements,high
F-0061-2021,Spices/Condiments,high
F-0061-2022,Nuts/Seeds,high
F-0061-2023,Supplements,medium
F-0061-2024,Prepared/Frozen,high
F-0061-2025,Beverages,high
F-0062-2013,Dairy,high
F-0062-2014,Dairy,high
F-0062-2015,Prepared/Frozen,medium
F-0062-2016,Supplements,low
F-0062-2017,Bakery,high
F-0062-2018,Seafood,high
F-0062-2020,Produce,high
F-0062-2021,Spices/Condiments,medium
F-0062-2022,Nuts/Seeds,high
F-0062-2023,Supplements,medium
F-0062-2024,Prepared/Frozen,high
F-0062-2025,Beverages,high
F-0063-2013,Dairy,high
F-0063-2014,Dairy,high
F-0063-2015,Prepared/Frozen,medium
F-0063-2016,Supplements,high
F-0063-2017,Bakery,high
F-0063-2018,Seafood,high
F-0063-2020,Seafood,high
F-0063-2021,Spices/Condiments,high
F-0063-2022,Nuts/Seeds,high
F-0063-2023,Supplements,medium
F-0063-2024,Prepared/Frozen,high
F-0063-2025,Snacks/Candy,medium
F-0064-2013,Dairy,high
F-0064-2014,Dairy,high
F-0064-2015,Dairy,medium
F-0064-2016,Supplements,high
F-0064-2017,Bakery,high
F-0064-2018,Seafood,high
F-0064-2019,Spices/Condiments,high
F-0064-2020,Prepared/Frozen,low
F-0064-2021,Spices/Condiments,low
F-0064-2022,Nuts/Seeds,high
F-0064-2023,Bakery,high
F-0064-2024,Prepared/Frozen,high
F-0064-2025,Dairy,high
F-0065-2013,Dairy,high
F-0065-2014,Dairy,high
F-0065-2015,Dairy,high
F-0065-2016,Supplements,high
F-0065-2017,Bakery,high
F-0065-2018,Seafood,high
F-0065-2019,Prepared/Frozen,medium
F-0065-2020,Prepared/Frozen,medium
F-0065-2021,Snacks/Candy,medium
F-0065-2022,Baby/Toddler Food,high
F-0065-2023,Bakery,high
F-0065-2024,Prepared/Frozen,high
F-0066-2013,Dairy,high
F-0066-2014,Dairy,high
F-0066-2015,Dairy,high
F-0066-2016,Supplements,high
F-0066-2017,Bakery,high
F-0066-2018,Seafood,high
F-0066-2019,Prepared/Frozen,medium
F-0066-2020,Prepared/Frozen,medium
F-0066-2022,Spices/Condiments,high
F-0066-2023,Bakery,high
F-0066-2024,Prepared/Frozen,high
F-0067-2013,Dairy,high
F-0067-2014,Dairy,high
F-0067-2015,Dairy,high
F-0067-2016,Dairy,high
F-0067-2017,Bakery,high
F-0067-2018,Seafood,high
F-0067-2019,Bakery,medium
F-0067-2020,Produce,low
