recall_number,product_description,expected_category,sample_reason
F-0398-2013,"Sunland Natural Mixed Nut Butter, Crunchy Almonds and Peanuts, 16 oz, UPC 4868757906, produced by Sunland Inc, Portales, NM 88130.",Nuts/Seeds,probe
F-0559-2013,"Harry & David Crunchy Almond and Peanut Butter, 12 oz. jar., labeled in part: ""HARRY & DAVID CRUNCHY ALMOND AND PEANUT BUTTER***NET WT. 12 OZ. (340g)***INGREDIENTS: ROASTED ALMONDS, ROASTED PEANUTS, SEA SALT.***MADE FOR HARRY AND DAVID MEDFORD, OR 97501***7 80994 73873 7***""    The 12 oz. jars are sold individually and also as gift add-ons for gift baskets.     The gift baskets are listed below:    Harry & David Apple Snack Box;  Wolferman's Bee Sweet Gift Basket;  Wolferman's Hearty Snack Gift Basket;  Wolferman's All-Day Assortment Gift Basket;  Wolferman's Fathers Day Basket",Nuts/Seeds,probe
F-1378-2014,"Organic Almonds:  Baugher Ranch Organics;  Certified Organic by California Organic Farmers  May Contain occasional Shell fragments.  Keep Refrigerated; 25 lbs.    Baugher Farms, Orland, CA",Nuts/Seeds,probe
F-1476-2013,"Italian Cream Danish 8.5 oz (240g), 14pc/box.  UPC 0 10314 40056 4.    The pastry is braided and has yellow creamy swirls and sliced almonds.  The label is white with black lettering and a tan colored border.  The LL Bakery Logo is on the bottom left corner.",Nuts/Seeds,probe
F-1786-2012,"Kettle Brand Potato Chips, Sour Cream and Onion, 12/8.5oz, item # 0711387001, UPC 0 84114 11393 1",Snacks/Candy,probe
F-1787-2012,"Kettle Brand Potato Chips, New York Cheddar;  1) 24/1.5oz, item # 0712278000, UPC 0 8114 11271 2;  2) 24/2 oz item # 0703320000 UPC 0 84114 03320 8;  3) 15/5 oz item # 0710863000, UPC 0 84114 0094 1;  4) 12/8.5 oz item #'s 0710813001 and 0710813500 (different numbers for different geographical locations of distribution), UPC 0 84114 10813 5;  5) Canadian item 12/220 g item # 0711920000, UPC 0 84114 11907 0;  6) 100/5 oz  as part of a display, item # 0703450000;  7) Shipper containing 48/8.5 oz, item # 0711651001.",Snacks/Candy,probe
F-1788-2012,"Kettle Brand Potato Chips, Krinkle Cut Cheddar and Sour Cream;  1) 6/2 oz  (caddy) item # 0711770000, UPC 0 8114 11715 1;  2) 24/2 oz item # 0711714000, UPC 0 84114 11715 1;  3) 15/5 oz item # 0711718000, UPC 0 84114 11719 9;  4) 12/8.5 oz item #'s 0711726001 and 0711726500 (different numbers for different geographical locations of distribution), UPC 0 84114 11728 1;  5) 10/13 oz item # 0711716001, UPC 0 84114 11717 5;  6) 12/220 g item # 0711915000, UPC 0 84114 1190 5;  7) 10/397g item # 0711729000, UPC 0 84114 11731 1.",Snacks/Candy,probe
F-1789-2012,"Kettle Brand Potato Chips, Cheddar Beer, item #0712374000, UPC 0 84114 12375 6.",Snacks/Candy,probe
F-0676-2013,"Pierre Peanut Butter & Straw. Jam on White Bread, 2.80oz, AdvancePierre Foods, Inc., 9990 Princeton Glendale Road, Cincinnati, OH 45246.",Bakery,probe
F-1403-2012,"White brick oven WHITE BREAD INGREDIENTS: Spring Flour (unbleached), water vegetable shortning... Stahl's Bakery (586) 716-8500",Bakery,probe
F-0660-2013,"Pierre Peanut Butter & Grape Jelly on White Bread, 2.80oz, AdvancePierre Foods, Inc., 9990 Princeton Glendale Road, Cincinnati, OH 45246.",Bakery,probe
F-0781-2013,Zingerman's Bakehouse Olive Oil Cake Net wt. 1.25 lb,Oils/Fats,probe
F-1930-2012,"Conch Salad w/onions.  Product is labeled in part:  ""***KEYS FISHERIES CONCH SALAD***Ingredients Ground Conch, Fresh tomatoes, Fresh Cucmber, Mojo (grapefruit juice, lime juice, orange juice, extra virgin olive oil, garlic, onion, sugar, spices, cumin) Tomatoe juice, Line juice, Parsley, Black pepper, Salt, Spices, Paprika.***FRESH PRODUCT KEEP REFRIGERATED***""    CODE: 07294144950    Product was packaged in 5 lb plastic containers with 4 per case.    Onions used in the manufacture of the above item is subject to recall for Listeria monocytogenes.",Oils/Fats,probe
F-2140-2012,"Miso Dressing sold at the chef's case, self service bar, or sold packaged.  Packaged product is labeled as listed below:    ""WHOLE FOODS MARKET***MISODRESSING***WHITE MISO (WATER, RICE, WHOLE SOYBEAN, SEA SALT, KOJI STARTER), TOFU (FILTERED WATER, (NON-GMO) SOYBEANS, NATURAL COAGULANTS (CALCIUM CHLORIDE (NIGARI), CALCIUM SULFATE), EXTRA VIRGIN OLIVE OIL, WATER, APPLE CIDER VINEGAR (APPLE CIDER VINEGAR, WATER), ONIONS, TAMARI (WATER, SOYBEANS, SALT, ALCOHOL (TO PRESERVE FRESHNESS)), PARSLEY CONTAINS: SOY***""",Oils/Fats,probe
F-1427-2012,"Canned oysters.  Crown Prince Natural Smoked Oysters in Olive Oil, 3 oz. Each case is 3oz/18.",Oils/Fats,probe
F-2107-2012,Wegman's Caribbean Black Bean Soup 16 oz retail cup  Product Code: 85656,Plant Protein,probe
F-1874-2012,"MIX w/yellow onions used as an ingredient.  Product may be labeled in part:  ""***FP CENTRAL FL. FRESHCUTS MIXES, FC BLACK BEAN/CORN SALSA***2/5#***RT # FC***"".      Item # 511536  MIXES, FC BLACK BEAN/CORN SALS",Plant Protein,probe
F-2073-2012,"Calico bean Salad  5  lbs Poly Tub (Item #01409) packaged under Costa and Stop & Shop brand,  Item T1407, C1407, 5 lb Poly Bag  Black eye peas , water, salt, calcium chloride  and disodium EDTA to preserve color), Chick Peas (cooked  dried chick peas, water,salt), Kidney Beans (kidney beans,  water. salt, CaCI2), Black Beans (black beans, water. salt,  CaCI2, ferrous gluconate), Italian Dressing (distilled vinegar,  soy bean oil, water, com syrup,salt. onion, red bell pepper,  xantham gum. spice and oleo resin paprika, calcium disodium EDTA). Apple Cider Vinegar, Celery, Green Pepper, Red Pepper, Onion",Plant Protein,probe
F-2117-2012,"Trader Joe's, Balela (A savory Middle Eastern salad with chickpeas, black beans and tomatoes). 8 ounces (227g). in clear rigid plastic containers with snap on lids.",Plant Protein,probe
F-1686-2014,"UNCLE BEN's(R) READY RICE(R) Original Enriched Long Grain White Rice, 8.8 oz. (250g), UPC  054800 031764",Grains/Cereal,probe
F-0090-2015,Family Gourmet Long Grain Enriched White Rice in 32 oz. clear plastic bags (SKU: 1218898) and 80 oz. clear plastic bag (SKU: 1218870).,Grains/Cereal,probe
F-1260-2016,"Family Gourmet Long Grain Enriched White Rice, 32 oz. (2 lb.) plastic bag (SKU: 1218898)",Grains/Cereal,probe
F-1753-2019,"FRESHPET SELECT FRESH FROM THE KITCHEN - REFRIGERATED DOG FOOD - 1.75LB, UPC:2797501110",Pet Food/Treats,probe
F-1754-2019,"FRESHPET SELECT GRAIN FREE SMALL - REFRIGERATED DOG FOOD - 1LB, UPC: 2797501204",Pet Food/Treats,probe
F-1409-2015,"Similac¿ Advance Complete Nutrition Infant Formula with Iron, 1.45lb plastic container.",Baby/Toddler Food,probe
F-1558-2019,"Parent's Choice Advantage Infant Formula Milk-Based Powder with Iron, 35 oz, 922 g, with UPC: 078742022468",Baby/Toddler Food,probe
F-0022-2020,"Abbott Calcilo XD, Low-calcium Vitamin D-Free Infant formula with iron, powder in a 13.2 oz. can, with 6 cans per case.",Baby/Toddler Food,probe
F-0303-2013,"Organic Honey Peanut Butter 16 oz UPC 894455000001, 1.15 oz squeeze packs UPC 894455000094.",Spices/Condiments,probe
F-0032-2013,"CANTALOUPE, WATERMELON, HONEY DEW, RED GRAPES:     Festival Foods-Best Of The Season 30787 H.Brooks Melon Mix Slices Net Wt. 12 oz. (340g) 3 units per case   331 UPC# 0 3823230787 1.",Spices/Condiments,probe
F-0632-2013,"Starbucks Protein Bistro Box, Net Wt 6.8 OZ (193g),   Contains Cage-free egg, white Cheddar Cheese, multigrain muesli bread with honey peanut butter spread and fruit.",Spices/Condiments,probe
F-1581-2013,"ALYMAQ EXTRA FINE GRANULATED SUGAR AIB, www.alymaq.com, NET WT. 50 LBS. (22.68KG), KEEP IN A COOL AND DRY PLACE.  Multi-wall polyethylene lined bag. 55 bags per pallet.",Baking Supplies,probe
F-1514-2013,"INDIAN RIVER ORANGE DROP COOKIES MIX 17 oz coffee bag Contents: Unbleached white flour; granulated sugar, confectioner's sugar, orange peel, baking powder, and salt***PURELY AMERICAN 5991 Industrial Park Road, Athens, OH 45701 (800) 359-7873 www.purelyamerican.com UPC 7 92290 00135 4",Baking Supplies,probe
F-1600-2014,"Rise n Roll Bakery & Deli, Raspberry Creme Donuts, sold individually and  found in 6 count (436 g) UPC Code 6 26570 61744 0  or 12 count (861.83 g) UPC Code 6 26570 617457,  variety donut box identifying all donut varieties     Raspberry Creme Donuts  Enriched wheat flour, soybean oil, dextrose, salt, leaving, soy flour, dry whey, mono and diglycerides with BHT, sodium stearoyl, latylate, guar gum wheat starch, ascorbic acid, corn oil, beta carotene, citric acid, silicon dioxide, alpha tocopherols, tricalcium phosphate, soy shortening (palm oil, soybean oil, vitamin E)     FILLING:  Black raspberries, granulated sugar, permaflo, lemon juice and natural flavor.    Contains wheat, soy and milk",Baking Supplies,probe
