recall_number,product_description
F-0277-2013,#025 Diced Colored Peppers	9 ounces
F-0550-2013,"Torn and Glasser Salted Roasted Jumbo Virginia, 50 lb, Item 533."
F-1463-2012,"Santos Brand, Cinnamon Sticks packed in clear plastic bags, 7oz, 14oz"
F-0007-2013,"Kerry Organic Pure 900, Organic Soy Protein Isolate, Item #722234.454, packaged in 20-kg. bags.  The firm name on the label is Kerry China, Shanghai, China."
F-0774-2013,Zingerman's Bakehouse Palmiers Net wt. 4 ounces
F-0517-2013,"Fenugreek, 3 dozen per case."
F-0745-2013,"Monterey Jack , Sizes could be 8 oz, 5lbs, 10lb, or 25lbs- vacuum packed"
F-0227-2013,#338 Tortellini Primavera		5 pounds
F-2224-201,"Finest Traditions Homemade-Style Cole Slaw, 8 lbs., 10 733147 10170 1;      Finest Traditions Homemade Style Cole Slaw, 16 oz., 7 33147 00025 0;"
F-0147-2013,Harry and David and Cushman's Original Gift Baskets
F-0746-2013,"Mild Cheddar , Sizes could be 8 oz, 5lbs, 10lb, or 25lbs- vacuum packed"
F-0143-2013,"""Recaito Do¿a Tita***Home Made Style***Keep Refrigerated***Elaborado y Envasado por Ernesto Tropical Foods, Inc. Guadalupe #62, Ponce PR 00731***Net Weight: 14 oz***"""
F-0778-2013,Zingerman's Bakehouse Stollen
F-0535-2013,"Sunland Raw Virginia Reg Jumbo InShell, 50 lb UPC 0-48687-76101-2"
F-2261-2012,"Acme Homestyle Cole Slaw, 16 oz., 0 11596 14304 3"
F-1812-2012,"WE-24541 Vit/Min Premix Toddler (1-4 yr old) w/o DHA*ARA, NET WEIGHT 22.68 KG"
F-0314-2013,"Pepper Jelly, 4 and 8 ounce jars, labeled in part ***Jill's Jams &amp;amp; Jellies, Hampstead, MD 21074***"
F-0283-2013,"#011 Zucchini Stir,Fry		0.75 pounds"
F-0706-2013,"Beagle Bay Organics Brand Raw Sauerkraut, Kimchi Net. Wt. 16 oz (416g). Product is stored/distributed under refrigeration and is intended to be eaten raw as a condiment. Beagle Bay Organics, 4501 Manatee Ave W # 105, Bradenton, FL 34209"
F-1470-2012,"Santos Brand, Whole Mace packed in clear plastic bags,  3.5 ounces, 7 ounces"
F-0734-2013,"Ground Hot Pepper Chillies, 5 oz. plastic jars, 24 jars/case; jars labeled in part ***Imported and distributed by Nina International Inc., P.O. Box 2176, Hyattsville, MD 20784***Product of Ghana***"
F-0771-2013,Zingerman's Bakehouse Rugelach Net wt. 1/2 lb
F-2168-2012,"Finest Traditions Smokey Baked Beans, 8 lbs.,10 733147 10456 6, 16 oz., 7 33147 00161 5,  8 lbs., 10 733147 10231 9;"
F-2356-2012,"Nitre powder. Brand ""Selected Product"", 4oz plastic bags, UPC 0 45027 97918 2."
F-0743-2013,"Colby , Sizes could be 8 oz, 5lbs, 10lb, or 25lbs- vacuum packed"
F-1473-2012,"Santos Brand, Suji (Farina) packed in clear plastic bags, 2 pounds"
F-1472-2012,"Santos Brand, Urid Split (Lentils) packed in clear plastic bags, 2 pounds, 4 pounds"
F-2221-2012,"Cole Slaws: 1) Spartan Cole Slaw, 1 lb., 0 11213 90322 4,  & 3 lbs., 0 11213 90327 9; 2) Market Pantry Cole Slaw, 15 oz., 0 85329 24106 6, & 44 oz., 0 85239 24114; 3) Spoon River Cole Slaw, 3 lb., 0 11596 34238 2"
F-2041-2012,"CASS-CLAY, BUBBLE GUM, 3 GALLON  (11.34 L)."
F-2262-2012,"Garden-Fresh Family Style Cole Slaw, 5 lb., 0 11596 53060 4"
F-0285-2013,#009 Colored Peppers		0.76 pounds
F-1860-2012,"""***Tres Monjitas***Tropical Splash***Acerola***15 oz***"""
F-2091-2012,BUSCHS SPAGHETTI & MEATBALLS B       14 OZ
F-0262-2013,#231 Bulk Cantalope	231	3 pounds
F-0850-2013,"Veggie Patch Falafel Chickpea Balls, Net Wt 9 oz tray, Refrigerated  UPC code 6-10129-06619-3"
F-2005-2012,"Kabob Kit, packaged in 24-oz. plastic containers, 2 containers per case, UPC 815970011792.  The firm name on the label is Cool Creations, LLC, North Kansas City, MO."
F-2050-2012,"Cass Clay, BISON CRUNCH, half gallon (1.89 L)   0 70422 04033 5    Cass Clay, BISON CRUNCH, 3 Gallon (11.34 L)"
F-1709-2012,Xylishield Dental Care Kit containing 60 pieces of Cinnamon Xylishield gum.  The product is packaged in blue and white packaging with black and white print writing.  The product is advertised as a defense against cavities. Part number 8405.
F-2222-2012,"Dixie Cole Slaws:1) Garden-Fresh Dixie Cole Slaw, 5 lbs., 0 11596 93007 7 ; 2) DF Special Recipe Dixie Cole Slaw, 16 oz. 0 70163 98115 7"
F-2085-2012,1/2 PAN BAKED MOSTACCIOLI BM  1 EA
F-1755-2012,"T.G.I. Friday's Mozzarella Sticks 2.25oz, 3.5oz, and 4.8 oz.    Item#30187, 30588, 30588B, 30707, 30819, 30834."
F-0539-2013,"Sunland Salted In Shell Bulk Organic in Box, 25 lb UPC 0-48687-12110-6."
F-1911-2012,"Garden Highway brand Traditional Guacamole Kit, 3 lb package.  Manufactured by GH Foods CA LLC,  Rancho Cordova, CA."
F-0712-2013,"Kalamata Tapenade packaged in 7 oz clear plastic and 5 lb white plastic capacity containers, manufactured by Sartori Inspirations, LLC, Lafayette, CO 80026."
F-0713-2013,"Mediterranean Tapenade packaged in 7 oz clear plastic and 5 lb capacity white plastic tubs, manufactured by Sartori Inspirations, LLC, Lafayette, CO 80026."
F-0831-2013,Dried Golden Raisins 8 oz UPC 7203670490
F-2223-2012,"Garden-Fresh Amish Country Cole Slaw, 5 lbs., 0 11596 53010 9;"
F-1858-2012,"Dried Brewers Yeast TG_YFS004  Naturex 375 Huyler Street, South Hackensack, NJ 07606 USA Phone: 1 201 440 5000 Net Wt 25 kg"
F-0894-2013,"Green Pepper Strips 3/8"" 80/2oz (4,536g) bag Item #73032 BEST USED BY: 11/21/12 TC: 1 317 2359 15:45"
F-0112-2013,"MJM Tropical Treats, Tropical Shaped Grahams, Orange, Net Wt. 1 oz., MJM Marketing, Super Wholesome Grahams, P.O. Box 1477, Kailua Kona, HI 96745-1477."
F-0714-2013,"Tex Mex Smoked Gouda packaged in 7 oz clear plastic containers, manufactured by Sartori Inspirations, LLC, Lafayette, CO 80026."
F-0903-2013,Pastillage (gum paste) Flowers
F-0763-2013,Zingerman's Bakehouse Country Scone  Net wt. 3 ounces
F-2338-2012,"Delish Tropical Medley 10 oz.(283 g)  Enjoy by: 8/28/12 and before Distributed by: Walgreen Co. 200 Wilmot Road, Deerfield, IL 60015 Distributed by Walgreens UPC 04 902253699 9"
F0515-2013,"Boulart Multigrain Ciabatta Baquette, 18/11.5 ounce loaves, UPC 82684622102."
F-0938-2013,"Individual packages labeled in part: ***The Father's Table***Vanilla Roll***8oz**** and Master carton labeled in part: ""The Father's Table***Shelf Stable*** Mini Vanilla Roll***Contains 12/8oz.***"
F-1859-2012,"""***Tres Monjitas***Tropical Splash***Guanabana***15 oz***"""
F-1144-2013,"365 Organic Orzo, 16oz, 20 carton/case"
F-0900-2013,Pastillage (gum paste) Flowers
F-1888-2012,"Fresh Pico de Gallo packaged under the following brand names and sizes:  Albertson's - 12 oz container;  Garden Highway - 7 oz; 1 lb containers and Fresh Party Favorites 1 lb and 7 oz;  Natural Directions - 1 lb;  Pacific Coast Directions - 7 oz and 1 lb;  Raley's 7 oz and 1 lb  Manufactured by GH Foods CA LLC,  Rancho Cordova, CA."
F-0905-2013,Pastillage (gum paste) Flowers
F-0899-2013,Pastillage (gum paste) Flowers
F-1990-2012,"Organic Pinenut, 25 kg, Product of China"
F-1730-2012,Erosyn bottles of 30 tablets taken orally Nokomis Research Inc  Bell Lifestyle Products #7
F-0664-2013,"PB & J Jamz, 2.80oz., Distributed by: AdvancePierre Foods, Inc., 9990 Princeton Glendale Road, Cincinnati, OH 45246."
F-0849-2013,"Meatless Burger: 1) Veggie Patch Ultimate Meatless Burger - Net Wt. 9 oz. tray, UPC Code 6-10129-00211-5; 2) Veggie Patch The Ultimate Meatless Burger  - Le burger sans-viande ultime, Net Wt 1.02Kg/ 2.25 Lb, UPC Code: 6-10129-08477-7"
F-1897-2012,"Cacciatore Mix under the brand name of Garden Highway  Chef Essentials, Safeway Farms, 11 oz packages.   Manufactured by GH Foods CA LLC,  Rancho Cordova, CA."
F-1457-2013,"Preserved Apricots -- NET WEIGHT 300gr (10.6oz) -- Ingredient: Salt, apricot, refined sugar.  Firm on label: packed for Hong Lee Trading Inc., 225 Johnson Ave., Brooklyn, NY 11203.  Product of Vietnam."
F-1466-2012,"Santos Brand, Deggi Mirch (Red Capsicum & Kashmiri Red Chile Powder) packed in clear plastic bags,  7 ounces, 14 ounces, 2 pounds"
F-0766-2013,Zingerman's Bakehouse Currant Scone  Net wt. 3 ounces
F-0297-2013,"SunFresh Natural Pitted Prunes Net wt. 6 oz. Distributed by: Sunfresh Natural LLC, Passaic, NJ 07055   Please visit us at: www.sunfreshnatural.com"
F-0179-2013,#448 10 oz Three Green Veggies	10 ounces
F-0518-2013,"Fenugreek Leaves, 30 bunches (2.5 dozens/carton)."
F-2052-2012,"Cass Clay, LIGHT MUDDY SNEAKERS, half gallon (1.89 L)  	0 70422 24072 8"
F-1729-2012,Product Name: Eroxil bottles of 30 tablets taken orally Nokomis Research Inc #6
F-1760-2013,"El Campestre Brand Ceviche Mixto, 2/5 lbs bulk containers into 1/10lbs carton.  Packaged in 2/5lbs white plastic buckets with lid and handle, into 1/10lbs carton.    Labeling reads in part:""CEVICHE MIXTO***NET WT..10 LBS***DIST.BY EL CAMPESTRE DIST TEL (562) 505-7247***""."
F-1352-2014,"Phenol Assist, Kirkman brand, Item # 0835-090"
F-1343-2013,"Assorted Non-Pareil Seeds; Ozone Confectioners, Elmwood Park, New Jersey 07407.  Non-Pareil Seeds, 10 LBS. Net"
F-0789-2014,"Bulk B807 True Botanica Digestive, packaged in varying quantities within poly bags within corrugated boxes (for domestic distribution) or fiber drums (for international distribution) (SKU 83377);"
F-1695-2013,"Item Number: 366568  Item Description: TUB LG MIX DIET DELIGHT  Case Pack: 12  Package Size: 14 OZ 2-Piece Clear Plastic Tub (No Label on Top, Nutritional Label on Bottom)  UPC Number: 094776081769"
F-1336-2014,"Diet Coke, 2L, 67.6 FL OZ (2 QT 3.6 FL OZ), UPC 4900005011"
F-0430-2014,"Market Pantry Reduced Fat Coleslaw, UPC 0 85239 20117 6 15 oz, Product Code 201176."
F-0809-2014,"Bulk C812 ZoiVi Digestive Formula powder, packaged in varying quantities within poly bags within corrugated boxes (for domestic distribution) or fiber drums (for international distribution) (SKU 83438)"
F-1509-2014,"Bueno GC NM Exclusive XHot 6-56oz Z, Product Item Number 1048-5. Packaged in plastic containers.   All packed in cardboard shipper box that is then sealed with attached shipper label. Total package size of  6 units of 56 oz each per case totaling 21 lbs."
F-1533-2014,"Bueno GC 1.5 Hot 5-5# Z, Product Item Number 1096-3. Packaged in sealed poly film pouches.  All packed in cardboard shipper box that is then sealed with attached shipper label. Total package size  5 units of 5 lbs each per case, totaling 25 lbs."
F-0867-2014,"Weis, Baked Lima Beans, 1/5 lb., 	0 11596 52111 4, 	11/21/2013 - 12/3/2013"
F-1728-2013,"Orchard Reserve, Fiber Health Blend, Net WT 6.5 oz , UPC 0 71725 74211 7, Distributed by Amport Foods, Minneapolis, MN 55414."
F-1644-2013,"R.L. Schreiber Batter Mix, 2.5 lb packaged in white flexible plastic bag, 12 bags per case."
F-1508-2014,"Bueno GC NM Mild 6-56oz Z, Product Item Number 1044-2. Packaged in plastic containers.   All packed in cardboard shipper box that is then sealed with attached shipper label. Total package size of  6 units of 56 oz each per case totaling 21 lbs."
F-0756-2014,Bulk 7775 GreenPlanet Enzymeblend Powder packaged in poly bags within fiber drums (SKU 82566)
F-1349-2014,"EnZym-Complete/DPP-IV II with Isogest, Kirkman brand.  Item  numbers:   0851A-090, 0851A-180, 0931-090, 0931-180, 5851A-090, 5931-090."
F-0134-2014,"Protease:    APEX 10-7082  CENTURY 7-152  EB 2-14511  EB 5-16901  EB 8-14861  EB 9-14191  EXCLZYME  EXCLZYME EN  GLOBAL 8-658  HFN 7-7113  META 10-185  MHNHEM 2-158  PEPZYME AG  PROTEASE - 1000  PROTEASE 250,000  SEB PRO FP 500  SEB PRO FP 600  SYS 7-7742  UT 11-216 N  VEGPANZYME 1213  VEGPANZYME PLUS"
F-0816-2014,"LipiChol 540 (Omega-3 Phospholipid) Medical Food Dispense by Prescription Distributed by: PharmaceutiX Orlando, Florida"
F-1465-2013,"GRATED 2/25 GRANA PADANO; Lot Code: 313701A01; Pack Size: 2/25#; Net Pounds: 50; PACK DATE: 05/18/13; ITEM#DGP03; arthur schuman inc, 40 new dutch lane fairfield nj 07004 U.S.A.; 937-227-0030 www.arthurschuman.com;"
F-0433-2014,"Weis Old Fashion Cole Slaw, UPC 0 41497 05849 5, 16 oz, Product Code 05849.  Weis Old Fashion Coleslaw, UPC 0 11596 53100 7, 2/5 lb., Product Code 3100."
F-1580-2013,Dixie Lily Stone Ground Meal 24 oz & 5lbs
F-0429-2014,"Market Pantry Coleslaw, UPC 0 85239 24106 6, 15 oz, Product Code 24106. Spartan Cole Slaw, UPC 0 11213 90322 4, 16 oz, Product Code 4072. Market Pantry Coleslaw, UPC 0 85239 24114 1, 44 oz., Product Code 24114. Family Style Cole Slaw, UPC 0 11596 53060 4, 2/5 lb., Product Code 3060. Grandpa's Cole Slaw, UPC 0 11596 08006 2, 3.5 oz, Product Code 8006. Grandpa's Cole Slaw, UPC 0 11596 24237 8, 2 lb., Product Code 4325. Grandpa's Cole Slaw, UPC 0 11596 34325 9, 3 lb., Product Code 4237. Grandpa's Cole Slaw, UPC 0 11596 93021 3, 2/5 lb., Product Code 3021."
F-0837-2014,"Nature's Way,UPC 33674156858, Alive Once Daily Men's Ultra Potency, 60 Tabs, 20010553,  20012800"
F-1135-2014,"Innate Response Digestive Enzymes Clinical Strength 90ct. (40126) and ""	Innate Response Digestive Enzymes Clinical Strength 10 Ct. Sample (90037)"
F-1524-2014,"Bueno GC NM Autumn Roast Hot 5-5# Z, Product Item Number 1062-3. Packaged in sealed poly film pouches.  All packed in cardboard shipper box that is then sealed with attached shipper label. Total package size  5 units of 5 lbs each per case, totaling 25 lbs."
F-0802-2014,"Bulk C542 Vitakost Low Carb Diet, packaged in varying quantities within poly bags within corrugated boxes (for domestic distribution) or fiber drums (for international distribution) (SKU 92544);"
F-1133-2014,MegaFood Vegan-Ease 30 ct. (12002) and MegaFood Vegan-Ease 2 ct. Sample Pack (S12002)
F-1524-2013,"Fresh Thai chili peppers.    Loose fresh Thai chili peppers packaged with inner plastic mesh bag into paper carton cardboard boxes. Imported bulk. Outer carton labeling reads in part: ""***PRODUCE OF MEXICO***JAMMIN PEPPERS***THAI CHILI***DISTRIBUTED BY: JT BROKERAGE 651 KOHLER ST. LOS ANGELES, CA 90021***WWW.JAMMINPEPPERS.COM***""."
F-1350-2014,"Enzym-Complete/DPP-IV, Kirkman brand.  Item numbers 0234-060, 0234-120, 0234-200, 5234-200"
F-1554-2013,"Hot Dog Buns  8 Count  Earthgrains Baking companies, Inc.  Horsham, PA 19044"
F-1516-2014,"Bueno GC NM Hot 5-5# Z, Product Item Number 1056-7. Packaged in sealed poly film pouches.  All packed in cardboard shipper box that is then sealed with attached shipper label. Total package size  5 units of 5 lbs each per case, totaling 25 lbs."
F-0850-2014,"Garden-Fresh, Amish Country Cole Slaw,  2/5 lb.	, 0 11596 53010 9	11/21/2013 - 12/6/2013"
F-1521-2014,"Bueno GC NM Hatch Valley Mild 5-5# Z, Product Item Number 1057-5. Packaged in sealed poly film pouches.  All packed in cardboard shipper box that is then sealed with attached shipper label. Total package size  5 units of 5 lbs each per case, totaling 25 lbs."
F-0720-2014,"Mediterranean Olives: Large, produced by Bel Frantoio and packaged in 34-oz. plastic containers.    Imported from Italy"
F-1512-2014,"GC Exclusive Hot 5-5# Z, Product Item Number 1056-2. Packaged in sealed poly film pouches.  All packed in cardboard shipper box that is then sealed with attached shipper label. Total package size  5 units of 5 lbs each per case, totaling 25 lbs."
F-1143-2014,"Vega ONE Nutritional Shake Vanilla Chai.  Distributed by: Sequel Naturals LTD, Burnaby, BC, Canada. Vegasport.com. Packaged in HDPE jars; in VFF pouch; sizes: 30.8 oz./874 g, 38g, 437g units containers."
F-1531-2014,"Bueno GC Autumn Roast Strip Medium 2-12.5# Z, Product Item Number 1090-5. Packaged in double-poly bags and not sealed."
F-1300-2013,Nutrex Research Lipo 6 Black Ultra concentrate Fat Destroyer
F-0783-2014,"Bulk A977 Wedar Digestive Blend 2 powder, packaged in varying quantities within poly bags within corrugated boxes (for domestic distribution) or fiber drums (for international distribution) (SKU 83314);"
F-1638-2013,"Solbar Q Soy Protein Isolates.  Item No. / Item Description:  22843 / Solbar Q 843 GMO, 22910 / Solbar Q 910 GMO, 22942 / Solbar Q 842 GMO, 22943 / Solbar Q 842 NGMO, 3323912 / Solbar Q 910, 3323920 / Solbar Q 920, 3323932 / Solbar Q 842, and 3323973 / Solbar Q 842 IP"
F-1937-2014,"GOOD TASTE brand Plum, 10.5 OZ, PRODUCT OF CHINA, UPC 3 867320 507650 --- AMERICA MANDY STAR TRADING"
F-0118-2014,"Dual Action Cleanse by Cellular Research Formulas, 60 ct, Item AN027370, UPC 7 10363 27370 5, Item AN056592HFS, UPC 7 10363 56592 3; Item DR056439, UPC 7 10363 57369 0."
F-0133-2014,Cellulase:    ACTA 4-702  APEX 17-6262  APEX 6-9762  ARTH EB 10831  BETA GLUCANASE 1000  BROOK 8-352  CELLULASE 1000  CELLULASE 4000  CELLULASE CONC.  CENTURY 7-152  CLENZSEB  DIGESEB  DIGESEB PB  DIGESEB PLUS  DIGESEB PLUS 401  DIGESEB SUPER  DIGESEB SUPER 118  EB 10-14081  EB 10-15351  EB 12-706  EB 14-14201  EB 16-15612  EB 17-14161  EB 5-13302  EB 5-14121  EB 5-15361  EB 8-15731  EB 9-14181  EB 9-14191  EL 5-7212  GLOBAL 8-658  GREENZYME 427  HEMISEB  JARL 3-164  NAT 9-185  NF 525  NHK 14-9451  NPC 270  NPC 5005  NPC 6006  NW 7B 9142  PB 10401  SEB GLUTEN RELIEF  SEB GLUTEN RELIEF HNS  SUPER 108  TUMMYEASE  VEGPANZYME PLUS  VR 5-8451
