recall_number,category,confidence
F-1466-2020,Supplements,medium
F-1393-2023,Dairy,high
F-0495-2022,Supplements,high
F-0564-2017,Dairy,high
F-1677-2013,Nuts/Seeds,high
F-2177-2015,Beverages,low
F-1762-2013,Seafood,high
F-0799-2024,Spices/Condiments,high
F-1083-2013,Grains/Cereal,high
F-0161-2024,Prepared/Frozen,high
F-0082-2025,Prepared/Frozen,high
F-0421-2019,Spices/Condiments,high
F-2030-2015,Grains/Cereal,high
F-1540-2014,Baby/Toddler Food,medium
F-0447-2013,Nuts/Seeds,high
F-0439-2020,Prepared/Frozen,medium
F-0533-2016,Seafood,high
F-0482-2019,Dairy,high
H-0384-2026,Dairy,high
F-0951-2016,Beef/Pork/Poultry/Game Meats,high
F-1017-2017,Supplements,high
F-0586-2024,Produce,high
F-0621-2024,Produce,high
F-0060-2025,Beverages,high
F-0867-2018,Nuts/Seeds,high
F-2610-2015,Dairy,high
F-0387-2022,Prepared/Frozen,medium
F-1660-2012,Bakery,high
F-0922-2015,Prepared/Frozen,high
F-0821-2014,Bakery,medium
F-1655-2018,Spices/Condiments,high
F-2053-2014,Snacks/Candy,high
F-0501-2024,Spices/Condiments,medium
F-1556-2020,Prepared/Frozen,high
F-0896-2021,Produce,high
F-0562-2022,Produce,high
F-2022-2015,Seafood,high
F-0152-2022,Bakery,high
F-2134-2012,Seafood,high
F-0124-2015,Supplements,high
F-0959-2022,Prepared/Frozen,medium
F-3287-2017,Grains/Cereal,medium
F-3192-2017,Grains/Cereal,medium
F-1750-2013,Produce,high
F-0041-2013,Seafood,high
F-1558-2019,Baby/Toddler Food,high
F-1400-2012,Dairy,high
F-0392-2021,Nuts/Seeds,high
F-1618-2017,Seafood,high
F-1537-2017,Produce,high
F-2039-2017,Snacks/Candy,high
F-0724-2023,Bakery,high
F-0231-2019,Spices/Condiments,medium
F-1913-2018,Produce,high
F-1947-2015,Beverages,high
F-0993-2020,Spices/Condiments,high
F-1279-2023,Snacks/Candy,high
F-0488-2022,Supplements,high
F-1288-2019,Prepared/Frozen,medium
H-0581-2025,Snacks/Candy,high
F-1076-2022,Spices/Condiments,medium
F-0009-2019,Bakery,medium
F-0355-2019,Produce,medium
F-2252-2017,Prepared/Frozen,high
H-0258-2025,Bakery,high
F-0047-2014,Dairy,high
F-0452-2013,Nuts/Seeds,high
F-1103-2016,Bakery,high
F-0928-2021,Bakery,high
F-1256-2024,Seafood,medium
F-1983-2018,Supplements,high
F-0926-2023,Seafood,medium
F-1578-2020,Spices/Condiments,high
F-1421-2022,Dairy,high
F-1499-2014,Spices/Condiments,low
F-2350-2016,Nuts/Seeds,high
F-3558-2017,Dairy,medium
F-1840-2018,Nuts/Seeds,high
F-1782-2024,Produce,medium
F-1564-2018,Dairy,high
F-0023-2021,Bakery,high
F-2793-2017,Seafood,high
H-0228-2026,Nuts/Seeds,high
F-0973-2015,Plant Protein,high
F-1843-2019,Produce,medium
F-1433-2020,Snacks/Candy,medium
F-1392-2020,Prepared/Frozen,high
F-0132-2016,Spices/Condiments,high
F-1295-2017,Seafood,high
F-1644-2012,Grains/Cereal,medium
F-2965-2017,Grains/Cereal,medium
F-1585-2016,Plant Protein,medium
F-0825-2016,Grains/Cereal,medium
F-2011-2019,Grains/Cereal,medium
H-0573-2026,Dairy,medium
F-0596-2017,Nuts/Seeds,high
F-0926-2016,Beef/Pork/Poultry/Game Meats,high
F-0713-2025,Snacks/Candy,high
F-0079-2017,Snacks/Candy,high
F-0839-2021,Bakery,high
F-0525-2014,Prepared/Frozen,medium
F-1429-2024,Bakery,high
F-1916-2017,Prepared/Frozen,low
F-1782-2019,Beverages,medium
F-0312-2023,Bakery,high
F-1244-2014,Spices/Condiments,high
F-0999-2017,Supplements,high
F-0515-2014,Prepared/Frozen,medium
F-1596-2019,Bakery,high
F-0128-2021,Spices/Condiments,high
F-0054-2025,Dairy,high
F-1684-2019,Dairy,high
F-3559-2017,Dairy,medium
F-1176-2017,Prepared/Frozen,high
F-0804-2021,Plant Protein,high
F-0716-2021,Seafood,high
F-1810-2016,Produce,high
F-0120-2015,Supplements,high
F-0538-2017,Bakery,high
F-0032-2019,Beverages,high
F-1351-2016,Oils/Fats,high
H-0079-2026,Grains/Cereal,high
F-1159-2019,Prepared/Frozen,high
F-1801-2016,Produce,high
F-1018-2021,Bakery,high
F-1478-2019,Supplements,high
F-0334-2018,Seafood,high
F-0185-2018,Produce,high
F-0675-2013,Snacks/Candy,medium
F-3161-2017,Grains/Cereal,medium
F-2967-2015,Prepared/Frozen,medium
F-1113-2016,Baby/Toddler Food,low
F-0018-2022,Spices/Condiments,high
F-0115-2016,Bakery,high
F-2020-2014,Seafood,high
F-0050-2024,Prepared/Frozen,high
H-0482-2025,Seafood,high
F-2314-2016,Snacks/Candy,medium
F-2215-2015,Prepared/Frozen,high
F-1032-2024,Food Additives/Ingredients,low
F-0583-2018,Snacks/Candy,medium
F-1791-2019,Beverages,high
F-0970-2024,Snacks/Candy,high
F-1774-2024,Prepared/Frozen,medium
F-0758-2021,Dairy,medium
F-1593-2022,Dairy,low
F-1417-2018,Supplements,high
F-0768-2022,Produce,medium
F-0084-2015,Seafood,high
F-1406-2022,Plant Protein,medium
F-0282-2023,Bakery,high
F-1723-2015,Uncategorized,low
F-2126-2014,Dairy,high
F-0525-2016,Bakery,high
F-2133-2016,Bakery,high
F-1055-2020,Produce,high
F-0376-2019,Grains/Cereal,medium
F-0492-2014,Prepared/Frozen,medium
F-0693-2015,Uncategorized,low
F-0535-2015,Snacks/Candy,high
F-1300-2018,Dairy,high
F-0739-2018,Spices/Condiments,medium
F-0383-2023,Snacks/Candy,high
F-1526-2013,Dairy,high
H-0815-2026,Spices/Condiments,medium
F-1162-2016,Supplements,medium
H-0613-2025,Prepared/Frozen,low
F-2627-2017,Seafood,high
H-0178-2025,Seafood,high
F-1079-2024,Prepared/Frozen,high
F-0641-2025,Dairy,high
F-1311-2020,Seafood,high
F-1229-2014,Prepared/Frozen,medium
F-3181-2017,Grains/Cereal,medium
F-0630-2021,Produce,high
F-1094-2018,Nuts/Seeds,high
F-2087-2016,Prepared/Frozen,medium
F-2347-2016,Nuts/Seeds,medium
F-2419-2015,Uncategorized,low
F-1584-2018,Bakery,high
F-0579-2018,Dairy,medium
F-1730-2016,Snacks/Candy,high
F-1379-2018,Supplements,high
F-1498-2019,Bakery,high
F-1196-2015,Nuts/Seeds,high
F-0054-2013,Dairy,high
F-1846-2014,Dairy,high
F-0664-2020,Prepared/Frozen,high
F-1308-2013,Bakery,high
F-1597-2018,Produce,high
F-0914-2025,Prepared/Frozen,high
F-0686-2015,Seafood,high
H-0528-2026,Snacks/Candy,high
F-1872-2015,Supplements,low
F-0488-2025,Bakery,medium
F-1168-2018,Supplements,low
F-0134-2013,Spices/Condiments,medium
F-0764-2015,Snacks/Candy,high
F-0422-2018,Snacks/Candy,high
F-0017-2015,Uncategorized,low
F-1283-2017,Bakery,high
F-0442-2014,Dairy,low
F-0800-2025,Dairy,high
F-2538-2016,Bakery,medium
F-0249-2013,Beef/Pork/Poultry/Game Meats,low
F-1598-2013,Seafood,high
F-2099-2015,Spices/Condiments,high
F-0393-2021,Prepared/Frozen,high
F-1932-2018,Supplements,medium
F-0888-2016,Bakery,medium
F-0626-2022,Dairy,high
F-2286-2015,Prepared/Frozen,low
F-1656-2013,Nuts/Seeds,high
F-2948-2015,Seafood,medium
F-0710-2013,Grains/Cereal,medium
F-0663-2020,Prepared/Frozen,high
F-1305-2020,Seafood,high
F-0375-2018,Prepared/Frozen,medium
F-1819-2013,Baby/Toddler Food,medium
F-1842-2012,Bakery,high
F-0156-2023,Baby/Toddler Food,high
F-0905-2023,Bakery,high
H-0629-2026,Produce,medium
F-2285-2016,Snacks/Candy,medium
F-0281-2014,Prepared/Frozen,medium
F-0015-2022,Plant Protein,medium
F-0951-2015,Dairy,high
F-1600-2023,Supplements,high
F-1975-2019,Seafood,high
F-0680-2019,Baking Supplies,medium
F-0146-2013,Produce,medium
F-1188-2017,Snacks/Candy,high
F-3088-2017,Grains/Cereal,medium
F-2182-2012,Seafood,medium
F-1578-2015,Grains/Cereal,medium
F-0523-2021,Grains/Cereal,medium
F-1087-2016,Bakery,high
F-0850-2017,Produce,high
F-0712-2021,Seafood,high
F-1155-2024,Bakery,high
F-1335-2015,Spices/Condiments,high
F-0589-2016,Bakery,high
F-0236-2023,Produce,high
F-0265-2016,Beverages,high
H-0182-2025,Seafood,high
F-1657-2023,Snacks/Candy,low
F-0498-2025,Bakery,high
F-0434-2014,Prepared/Frozen,medium
F-1011-2018,Grains/Cereal,high
F-0686-2023,Prepared/Frozen,low
F-1104-2018,Spices/Condiments,high
F-2044-2012,Dairy,medium
F-1344-2023,Bakery,high
F-1505-2024,Beverages,high
F-1464-2020,Supplements,medium
F-1295-2016,Seafood,high
F-0996-2024,Grains/Cereal,high
F-2353-2015,Prepared/Frozen,high
F-2440-2016,Nuts/Seeds,medium
F-0001-2014,Snacks/Candy,high
F-1079-2022,Spices/Condiments,medium
F-0250-2014,Prepared/Frozen,medium
F-0629-2017,Dairy,high
F-0138-2023,Plant Protein,medium
F-0790-2025,Dairy,high
F-0749-2016,Prepared/Frozen,medium
F-0246-2014,Prepared/Frozen,medium
H-1141-2026,Plant Protein,medium
F-0069-2015,Dairy,medium
F-0344-2019,Prepared/Frozen,high
F-2497-2017,Bakery,high
F-0442-2025,Produce,medium
F-0998-2017,Supplements,low
F-1872-2013,Snacks/Candy,low
F-0509-2015,Produce,high
F-0767-2013,Bakery,high
F-1410-2023,Snacks/Candy,high
F-0806-2021,Bakery,medium
F-1382-2023,Prepared/Frozen,medium
F-0428-2017,Dairy,high
F-0284-2016,Prepared/Frozen,medium
F-2120-2014,Dairy,high
F-0003-2019,Seafood,high
F-0819-2017,Baking Supplies,medium
F-1631-2017,Beverages,high
F-1210-2015,Produce,medium
F-1351-2013,Beverages,high
F-1883-2012,Prepared/Frozen,medium
F-1855-2014,Dairy,medium
F-1450-2023,Produce,high
F-1777-2014,Prepared/Frozen,medium
F-0995-2016,Prepared/Frozen,low
H-0124-2025,Seafood,medium
F-1978-2019,Seafood,high
H-1037-2026,Beef/Pork/Poultry/Game Meats,medium
F-3032-2015,Produce,high
F-0779-2019,Baking Supplies,medium
H-0897-2026,Dairy,high
F-1936-2019,Dairy,high
F-1175-2023,Spices/Condiments,medium
F-0025-2023,Produce,medium
F-1346-2024,Grains/Cereal,medium
H-1179-2026,Beverages,high
F-1308-2020,Seafood,high
F-1930-2015,Prepared/Frozen,medium
F-0426-2018,Nuts/Seeds,high
F-1017-2013,Produce,high
F-1221-2016,Supplements,high
F-0608-2022,Produce,medium
F-0340-2025,Produce,medium
F-1815-2018,Supplements,high
F-0785-2021,Beverages,high
H-1117-2026,Snacks/Candy,high
F-1466-2014,Dairy,high
F-1204-2019,Snacks/Candy,medium
F-1520-2024,Supplements,high
F-1210-2019,Grains/Cereal,high
F-1835-2016,Beverages,low
F-1268-2020,Produce,high
H-1102-2026,Snacks/Candy,high
F-0008-2022,Beverages,high
F-1800-2015,Spices/Condiments,medium
F-0207-2020,Prepared/Frozen,medium
F-3165-2015,Dairy,high
F-0356-2022,Produce,high
F-2663-2015,Dairy,high
F-1693-2017,Prepared/Frozen,medium
F-0676-2023,Seafood,high
F-1406-2018,Spices/Condiments,high
F-0100-2013,Produce,medium
F-1709-2012,Non-Food Item,medium
F-0933-2024,Produce,high
F-1091-2019,Produce,medium
F-0937-2021,Seafood,low
F-1908-2017,Grains/Cereal,medium
F-2409-2015,Supplements,high
F-1125-2020,Produce,high
F-1275-2017,Snacks/Candy,medium
F-2113-2017,Bakery,high
F-1239-2016,Nuts/Seeds,high
F-1083-2019,Produce,medium
F-0279-2021,Snacks/Candy,medium
F-0293-2017,Bakery,medium
F-0974-2024,Snacks/Candy,medium
F-0426-2020,Seafood,medium
F-1247-2018,Dairy,high
F-0788-2021,Bakery,high
F-0768-2014,Supplements,medium
F-0955-2020,Spices/Condiments,medium
F-0427-2013,Nuts/Seeds,high
F-0702-2018,Produce,high
F-2370-2015,Spices/Condiments,medium
F-0118-2024,Prepared/Frozen,high
F-1842-2013,Seafood,high
F-1219-2016,Supplements,medium
F-3143-2015,Dairy,high
F-1209-2015,Produce,medium
F-0553-2024,Dairy,medium
F-0210-2017,Seafood,high
H-0021-2026,Supplements,high
F-0309-2023,Snacks/Candy,high
F-1329-2013,Plant Protein,high
F-0840-2019,Snacks/Candy,high
F-1724-2012,Seafood,high
F-0695-2016,Dairy,high
F-0470-2023,Dairy,low
F-0377-2021,Snacks/Candy,medium
F-0283-2024,Dairy,medium
F-1561-2024,Dairy,medium
F-2522-2017,Plant Protein,medium
F-0691-2019,Nuts/Seeds,medium
F-1175-2019,Nuts/Seeds,medium
F-0284-2013,Produce,medium
F-0939-2018,Food Additives/Ingredients,medium
F-0162-2015,Supplements,high
F-0470-2016,Spices/Condiments,high
F-2151-2012,Prepared/Frozen,medium
F-2658-2017,Seafood,high
F-2163-2017,Seafood,high
F-2281-2017,Seafood,high
F-0763-2019,Produce,high
F-0544-2016,Supplements,medium
F-0340-2016,Bakery,high
F-0168-2016,Seafood,high
F-0044-2017,Snacks/Candy,medium
F-1306-2017,Baking Supplies,low
F-1324-2024,Food Additives/Ingredients,high
F-1433-2022,Beverages,low
F-2126-2019,Dairy,medium
H-0614-2026,Grains/Cereal,high
F-0473-2024,Seafood,high
F-2436-2016,Nuts/Seeds,high
F-1513-2020,Bakery,medium
H-0212-2025,Supplements,high
F-0177-2017,Bakery,high
F-0240-2018,Produce,low
F-1592-2014,Beverages,high
F-1635-2016,Plant Protein,high
F-1288-2024,Nuts/Seeds,high
F-1439-2012,Seafood,high
F-2189-2012,Spices/Condiments,medium
F-2201-2016,Spices/Condiments,high
F-1875-2013,Nuts/Seeds,medium
F-1973-2018,Prepared/Frozen,medium
F-1035-2013,Seafood,medium
F-1903-2017,Plant Protein,medium
F-0135-2023,Prepared/Frozen,high
F-1522-2019,Snacks/Candy,medium
F-0569-2019,Dairy,high
F-0904-2017,Produce,medium
F-1492-2022,Snacks/Candy,low
F-0927-2015,Dairy,medium
F-0281-2022,Spices/Condiments,high
F-1469-2015,Dairy,high
F-1439-2019,Seafood,medium
F-1681-2015,Supplements,low
F-1282-2018,Prepared/Frozen,medium
F-0029-2021,Spices/Condiments,high
F-1802-2022,Dairy,low
F-0625-2021,Produce,high
F-1960-2014,Prepared/Frozen,high
F-1729-2019,Dairy,high
F-1945-2019,Plant Protein,high
F-2645-2015,Dairy,high
F-0954-2018,Produce,high
H-0172-2025,Seafood,medium
F-2061-2019,Supplements,high
F-1049-2020,Supplements,high
F-1567-2012,Produce,high
F-0615-2022,Uncategorized,low
H-0041-2026,Produce,high
F-0257-2015,Supplements,medium
F-1478-2022,Snacks/Candy,high
F-1569-2013,Bakery,high
F-0817-2025,Spices/Condiments,high
F-1240-2014,Plant Protein,high
F-1143-2024,Bakery,high
F-0121-2024,Prepared/Frozen,low
F-0973-2017,Supplements,low
F-1690-2022,Bakery,high
F-1627-2024,Beverages,high
F-1654-2023,Bakery,medium
F-0425-2019,Grains/Cereal,high
F-0871-2019,Baking Supplies,low
F-0556-2016,Bakery,high
F-0178-2018,Produce,high
F-0896-2013,Produce,medium
F-2115-2019,Bakery,high
F-2025-2015,Prepared/Frozen,high
F-0970-2022,Produce,high
F-0534-2018,Produce,medium
F-1474-2022,Snacks/Candy,high
F-1842-2018,Spices/Condiments,high
F-1550-2012,Produce,high
F-1626-2018,Produce,high
F-0122-2023,Dairy,high
F-0134-2014,Food Additives/Ingredients,medium
F-1317-2013,Seafood,high
F-0945-2013,Snacks/Candy,medium
F-1951-2017,Prepared/Frozen,high
H-1049-2026,Seafood,medium
F-0722-2015,Bakery,high
F-0111-2023,Dairy,high
F-1555-2024,Dairy,high
F-0764-2020,Bakery,high
F-0427-2016,Bakery,medium
F-0377-2023,Beverages,high
F-0602-2022,Produce,medium
F-1372-2018,Dairy,high
F-1297-2018,Prepared/Frozen,high
F-1101-2020,Produce,high
F-1710-2017,Dairy,high
F-2066-2017,Snacks/Candy,high
F-1500-2019,Bakery,high
F-1884-2012,Produce,medium
F-1169-2015,Dairy,high
F-0103-2013,Plant Protein,high
F-0319-2025,Bakery,high
F-1358-2014,Seafood,high
F-0029-2023,Produce,medium
F-2136-2014,Dairy,high
F-1312-2018,Dairy,medium
F-0191-2014,Beverages,high
F-1060-2013,Dairy,high
F-2091-2016,Uncategorized,low
F-1053-2020,Produce,high
F-1644-2017,Dairy,high
F-0473-2023,Produce,medium
H-0367-2025,Bakery,high
F-0759-2024,Prepared/Frozen,medium
F-1361-2013,Dairy,low
F-2125-2014,Dairy,high
F-1597-2012,Produce,high
F-0616-2013,Nuts/Seeds,high
F-0334-2016,Snacks/Candy,medium
F-1432-2019,Beverages,high
F-0035-2016,Supplements,high
F-1094-2014,Grains/Cereal,high
F-0662-2020,Beef/Pork/Poultry/Game Meats,low
F-1505-2022,Grains/Cereal,high
F-2081-2016,Spices/Condiments,high
F-0501-2019,Dairy,high
F-0941-2016,Beef/Pork/Poultry/Game Meats,high
F-2260-2017,Seafood,high
F-1539-2013,Beverages,high
F-1426-2014,Dairy,high
F-1578-2016,Prepared/Frozen,medium
F-2311-2015,Bakery,high
F-1886-2012,Prepared/Frozen,medium
F-1508-2023,Bakery,high
F-0031-2023,Supplements,high
F-1363-2013,Prepared/Frozen,medium
F-0404-2014,Dairy,high
F-3352-2017,Nuts/Seeds,high
F-0496-2023,Prepared/Frozen,high
F-1973-2012,Produce,high
F-2544-2016,Bakery,high
F-0428-2020,Seafood,medium
F-1009-2016,Plant Protein,high
F-0687-2024,Produce,high
F-0167-2023,Plant Protein,high
F-3585-2017,Plant Protein,high
F-0260-2024,Prepared/Frozen,high
F-0961-2020,Supplements,high
F-3499-2017,Dairy,high
F-1111-2017,Plant Protein,high
F-2367-2016,Produce,high
F-1867-2016,Nuts/Seeds,high
H-1029-2026,Beef/Pork/Poultry/Game Meats,low
F-1633-2016,Plant Protein,high
F-1855-2019,Plant Protein,high
F-1515-2016,Bakery,high
F-1536-2022,Supplements,high
F-1124-2023,Spices/Condiments,medium
F-0350-2016,Produce,medium
F-0737-2024,Prepared/Frozen,medium
F-1688-2017,Prepared/Frozen,high
F-0014-2013,Produce,high
F-0727-2018,Spices/Condiments,high
F-0910-2017,Supplements,high
F-0925-2024,Dairy,high
F-0150-2022,Bakery,high
F-1218-2015,Snacks/Candy,medium
F-2029-2016,Prepared/Frozen,medium
F-1549-2023,Supplements,high
F-3464-2017,Snacks/Candy,high
F-3541-2017,Bakery,high
F-0384-2014,Produce,high
F-0888-2013,Produce,high
F-0329-2019,Produce,medium
F-2079-2017,Snacks/Candy,medium
F-0249-2024,Prepared/Frozen,high
F-0764-2013,Bakery,high
F-1348-2022,Supplements,high
F-0771-2025,Plant Protein,medium
F-1305-2014,Supplements,high
F-0552-2013,Bakery,high
F-2362-2017,Produce,high
H-0037-2025,Produce,high
F-0626-2025,Beverages,medium
F-1804-2019,Dairy,high
F-0812-2020,Beef/Pork/Poultry/Game Meats,medium
F-2791-2017,Seafood,high
F-0791-2018,Spices/Condiments,high
F-0860-2014,Prepared/Frozen,medium
F-0989-2013,Produce,high
F-1203-2018,Prepared/Frozen,medium
F-2121-2017,Bakery,high
F-0091-2013,Produce,high
F-0653-2023,Produce,medium
F-0116-2022,Produce,high
F-1123-2018,Dairy,high
F-1361-2023,Snacks/Candy,medium
F-1082-2016,Produce,high
F-2042-2012,Dairy,medium
H-0371-2026,Dairy,high
F-0193-2023,Grains/Cereal,medium
F-1442-2012,Seafood,high
F-0555-2023,Prepared/Frozen,high
F-1795-2022,Dairy,high
F-0049-2015,Snacks/Candy,high
F-2135-2012,Produce,medium
H-0633-2025,Dairy,high
F-0765-2024,Prepared/Frozen,medium
F-1769-2016,Supplements,high
F-0214-2023,Snacks/Candy,high
F-1836-2012,Seafood,high
H-0100-2026,Bakery,medium
F-1811-2015,Spices/Condiments,medium
F-0784-2020,Plant Protein,medium
F-3422-2017,Produce,high
F-1714-2017,Prepared/Frozen,medium
F-1930-2018,Prepared/Frozen,medium
F-0850-2013,Plant Protein,high
F-0983-2016,Prepared/Frozen,medium
F-1368-2013,Prepared/Frozen,medium
F-1550-2024,Dairy,medium
F-1294-2022,Produce,medium
H-0663-2026,Supplements,high
F-0557-2016,Bakery,high
F-3120-2017,Grains/Cereal,medium
F-1124-2022,Nuts/Seeds,high
F-1396-2016,Beverages,high
F-1807-2019,Dairy,high
F-0045-2015,Bakery,low
F-1541-2022,Supplements,high
F-1902-2018,Prepared/Frozen,low
F-1838-2012,Seafood,high
F-0167-2014,Supplements,high
F-0303-2015,Supplements,high
F-0208-2023,Snacks/Candy,high
F-0287-2023,Bakery,high
F-2604-2017,Snacks/Candy,high
F-3288-2017,Grains/Cereal,medium
F-1511-2022,Grains/Cereal,high
H-0101-2026,Bakery,medium
F-0902-2024,Grains/Cereal,medium
F-0864-2018,Bakery,medium
F-0602-2017,Prepared/Frozen,medium
F-1855-2017,Dairy,high
F-2109-2016,Seafood,high
F-0989-2017,Supplements,medium
F-0229-2017,Bakery,high
F-1441-2018,Nuts/Seeds,high
F-1242-2017,Snacks/Candy,high
F-1272-2017,Bakery,medium
F-0241-2023,Produce,high
F-0779-2020,Supplements,medium
F-0491-2013,Nuts/Seeds,high
F-2022-2016,Bakery,high
F-1675-2016,Snacks/Candy,high
F-0344-2013,Nuts/Seeds,high
F-1215-2022,Snacks/Candy,medium
F-0602-2014,Prepared/Frozen,medium
F-1587-2023,Supplements,high
F-0997-2015,Dairy,high
H-0486-2025,Prepared/Frozen,medium
F-0699-2014,Bakery,medium
F-0254-2015,Supplements,medium
F-0375-2024,Produce,high
F-0424-2017,Spices/Condiments,high
F-0066-2019,Prepared/Frozen,medium
F-1421-2023,Grains/Cereal,medium
F-2935-2015,Produce,high
F-1348-2017,Supplements,high
F-0541-2018,Seafood,high
F-3204-2015,Dairy,high
F-0077-2013,Dairy,high
F-0165-2018,Produce,high
F-0281-2024,Dairy,high
F-1829-2013,Snacks/Candy,medium
F-0168-2023,Plant Protein,high
F-0366-2015,Supplements,medium
F-0917-2025,Prepared/Frozen,medium
F-2551-2017,Seafood,high
F-1475-2019,Dairy,high
F-0286-2016,Produce,high
F-2547-2017,Seafood,high
F-0488-2014,Prepared/Frozen,medium
F-1684-2013,Nuts/Seeds,high
F-0383-2020,Prepared/Frozen,medium
F-2718-2017,Seafood,high
F-2170-2012,Produce,medium
F-0478-2018,Plant Protein,high
F-3080-2017,Grains/Cereal,medium
F-1452-2017,Prepared/Frozen,high
H-0203-2025,Beverages,high
F-1703-2013,Nuts/Seeds,high
F-0348-2025,Produce,medium
F-1806-2015,Grains/Cereal,high
F-1877-2018,Spices/Condiments,medium
F-0701-2023,Produce,high
H-1046-2026,Produce,medium
F-0881-2021,Dairy,high
F-2365-2017,Produce,high
F-1871-2018,Bakery,high
F-1336-2019,Beverages,high
F-2905-2017,Seafood,high
F-0208-2015,Supplements,medium
F-2113-2012,Dairy,high
F-0759-2018,Bakery,medium
F-2158-2014,Dairy,high
H-0275-2025,Beverages,high
F-0730-2023,Uncategorized,low
F-0381-2016,Seafood,high
F-1563-2024,Dairy,high
F-0246-2017,Seafood,high
H-0272-2025,Snacks/Candy,high
F-1858-2012,Food Additives/Ingredients,medium
F-0763-2021,Baby/Toddler Food,medium
F-0148-2023,Prepared/Frozen,low
F-1186-2022,Snacks/Candy,high
H-0778-2026,Snacks/Candy,high
F-3180-2015,Dairy,high
F-1689-2022,Bakery,medium
F-0581-2016,Seafood,high
F-0035-2025,Bakery,medium
F-1535-2023,Snacks/Candy,high
F-2255-2017,Seafood,high
F-0738-2021,Seafood,high
F-1755-2012,Prepared/Frozen,medium
F-1629-2018,Produce,high
F-1502-2016,Oils/Fats,high
F-0802-2015,Prepared/Frozen,medium
F-2249-2017,Beverages,high
F-2275-2016,Prepared/Frozen,medium
F-2835-2017,Nuts/Seeds,high
F-0794-2013,Produce,high
F-0571-2019,Dairy,high
F-3376-2017,Snacks/Candy,medium
F-0929-2015,Dairy,medium
F-2888-2015,Dairy,high
H-0372-2026,Dairy,high
F-1569-2015,Dairy,high
F-3192-2015,Prepared/Frozen,medium
F-1752-2022,Produce,high
F-1058-2024,Prepared/Frozen,medium
H-0250-2026,Prepared/Frozen,medium
F-1815-2015,Spices/Condiments,high
F-2152-2015,Bakery,high
F-0480-2022,Uncategorized,low
F-1440-2012,Seafood,high
F-2071-2015,Spices/Condiments,high
F-0428-2023,Baking Supplies,medium
F-1128-2024,Nuts/Seeds,high
F-2335-2012,Produce,high
H-0055-2025,Produce,high
F-2351-2016,Nuts/Seeds,high
F-0979-2017,Supplements,medium
F-2396-2017,Prepared/Frozen,medium
F-2032-2017,Snacks/Candy,high
F-0095-2020,Prepared/Frozen,high
F-0057-2016,Supplements,high
F-1349-2023,Bakery,high
F-3589-2017,Supplements,low
F-1278-2020,Dairy,medium
F-1382-2024,Baking Supplies,medium
F-2590-2017,Snacks/Candy,high
F-0510-2024,Beverages,high
F-0732-2022,Spices/Condiments,high
